id,date_time,dttm,false_tip_mm,false_tip_type,humid_rel_max,humid_rel_min,lat,long,moisture_soil_avg,rad_solar_max,rad_solar_sd,rad_uv_max,rad_uv_sd,rad_uv_tot,rain_tot,table_name,temp_air_max,temp_air_min,temp_ground_avg,temp_ground_min,wind_dir,wind_dir_sd,wind_speed,wind_speed_max
1,"2018-11-07","2018-11-07",0.762,"on_site",89.6,52.24,-27.164693,32.713983,0.073,753,169.1,28.33,7.591,0.153,0,"raw_1_days",23.24,15.31,18.24,15.02,173.7,36.81,1.837,7.175
2,"2018-11-08",NA,NA,NA,97.1,36.66,-27.164693,32.713983,0.073,1284,421.3,59.9,19.76,1.397,0,NA,26.01,12.5,19.01,12.47,157.8,48.07,1.349,5.675
3,"2018-11-09",NA,NA,NA,99.5,47.81,-27.164693,32.713983,0.069,1624,302.7,68.33,14.49,1.038,0,NA,25.8,11.17,19.42,11.49,47.67,47.26,0.928,5.075
4,"2018-11-10",NA,NA,NA,95.7,47.83,-27.164693,32.713983,0.065,1411,397.1,63.25,18.59,1.286,0,NA,26.73,14.78,21.2,14.17,21.03,54.58,1.428,6.875
5,"2018-11-11",NA,NA,NA,99.5,58.57,-27.164693,32.713983,0.061,1365,306.9,57.87,14.33,1.05,0,NA,26.67,13.24,20.87,13.13,21.22,38.15,1.293,5.9
6,"2018-11-12",NA,NA,NA,98.3,50.71,-27.164693,32.713983,0.056,1305,418.6,60.4,19.61,1.361,0,NA,27.74,15.9,22.14,14.82,22.36,36.61,1.584,7.475
7,"2018-11-13",NA,NA,NA,95.1,53.37,-27.164693,32.713983,0.051,1372,260.8,57.16,12.4,0.852,0,NA,26.51,16.4,22.22,15.91,5.565,34.8,1.89,7.55
8,"2018-11-14",NA,NA,NA,98.8,46.73,-27.164693,32.713983,0.046,1463,295.1,63.66,14.37,0.951,0,NA,28.67,15.55,21.81,14.94,354.2,35.76,1.222,5.45
9,"2018-11-15",NA,NA,NA,100,58.2,-27.164693,32.713983,0.041,1470,337.5,63.36,15.15,1.017,0,NA,28.62,16.36,22.72,15.38,356.8,42.92,1.553,6.95
10,"2018-11-16",NA,NA,NA,100,59.33,-27.164693,32.713983,0.038,1402,366.7,60.4,17.08,1.127,0,NA,30.47,18.21,24.74,17.48,15.23,31.66,1.869,6.8
11,"2018-11-17",NA,NA,NA,99.6,50.38,-27.164693,32.713983,0.035,1281,335.5,51.87,15.09,1.083,0,NA,32.44,20.6,25.64,20.04,89.1,85.9,1.988,8.68
12,"2018-11-18",NA,NA,NA,94.2,54.22,-27.164693,32.713983,0.033,1340,307,57.46,14.88,0.972,0,NA,28.12,19.27,23.48,18.99,156.4,42.31,1.553,5.975
13,"2018-11-19",NA,NA,NA,99.5,60.27,-27.164693,32.713983,0.032,1300,189.7,56.15,9.72,0.666,1.524,NA,25.65,18.79,21.88,19.05,43.9,66,1.304,7.25
14,"2018-11-20",NA,NA,NA,92.9,47.03,-27.164693,32.713983,0.032,1206,385.6,53.7,17.96,1.213,0,NA,33.92,20.39,26.27,20.24,355.6,45.43,2.641,8
15,"2018-11-21",NA,NA,NA,95.2,44.15,-27.164693,32.713983,0.031,1233,342.2,53.9,16.62,0.932,0.508,NA,31.04,17.78,23.76,17.72,161,42.52,1.864,7.625
16,"2018-11-22",NA,NA,NA,95.6,45.77,-27.164693,32.713983,0.03,1373,429.4,66.19,20.54,1.473,0.254,NA,27.6,18.14,23.19,17.8,156.7,42.35,1.936,6.65
17,"2018-11-23",NA,NA,NA,93.4,59.16,-27.164693,32.713983,0.029,1515,269.6,64.98,13.39,0.871,0,NA,26.64,18.37,22.33,18.46,123.4,63.12,1.153,4.7
18,"2018-11-24",NA,NA,NA,91.3,56.04,-27.164693,32.713983,0.029,1278,304.5,56.15,14.63,0.989,0,NA,28.8,19.52,24.39,19.48,2.923,29.21,2.194,7.775
19,"2018-11-25",NA,NA,NA,96.4,59.37,-27.164693,32.713983,0.029,1164,392.7,53.4,18.7,1.217,0,NA,31.49,21.39,26.33,20.75,11.39,31.47,2.592,7.85
20,"2018-11-26",NA,NA,NA,99.2,48.61,-27.164693,32.713983,0.028,1100,402.6,53.8,19.25,1.324,0,NA,33.96,20.58,27.57,19.9,10.03,42.24,2.036,6.875
21,"2018-11-27",NA,NA,NA,99.7,52.48,-27.164693,32.713983,0.028,1234,391.3,51.77,18.74,1.214,0.254,NA,34.6,21.55,27.75,21.47,4.304,29.25,1.999,7.1
