date_time,check1.5,flag_tot,flag1.3,flag1.5,flag1.6,flag1.7,flag2.1,flag2.3,flag2.6,flag4.1,flag4.2,flag5.1,flag6.1,humid_rel_max,humid_rel_min,rad_solar_max,rad_solar_sd,rad_uv_max,rad_uv_sd,rad_uv_tot,rain_tot,temp_air_max,temp_air_min,temp_ground_avg,temp_ground_min,wind_dir,wind_dir_sd,wind_speed,wind_speed_max
"2018-11-07",NA,0,0,NA,0,0,0,0,0,0,0,0,0,89.6,52.24,753,169.1,28.33,7.591,0.153,0,23.24,15.31,18.24,15.02,173.7,36.81,1.837,7.175
"2018-11-08",NA,0,0,NA,0,0,0,0,0,0,0,0,0,97.1,36.66,1284,421.3,59.9,19.76,1.397,0,26.01,12.5,19.01,12.47,157.8,48.07,1.349,5.675
"2018-11-09",NA,0,0,NA,0,0,0,0,0,0,0,0,0,99.5,47.81,1624,302.7,68.33,14.49,1.038,0,25.8,11.17,19.42,11.49,47.67,47.26,0.928,5.075
"2018-11-10",NA,0,0,NA,0,0,0,0,0,0,0,0,0,95.7,47.83,1411,397.1,63.25,18.59,1.286,0,26.73,14.78,21.2,14.17,21.03,54.58,1.428,6.875
"2018-11-11",NA,0,0,NA,0,0,0,0,0,0,0,0,0,99.5,58.57,1365,306.9,57.87,14.33,1.05,0,26.67,13.24,20.87,13.13,21.22,38.15,1.293,5.9
"2018-11-12",NA,0,0,NA,0,0,0,0,0,0,0,0,0,98.3,50.71,1305,418.6,60.4,19.61,1.361,0,27.74,15.9,22.14,14.82,22.36,36.61,1.584,7.475
"2018-11-13",NA,0,0,NA,0,0,0,0,0,0,0,0,0,95.1,53.37,1372,260.8,57.16,12.4,0.852,0,26.51,16.4,22.22,15.91,5.565,34.8,1.89,7.55
"2018-11-14",NA,0,0,NA,0,0,0,0,0,0,0,0,0,98.8,46.73,1463,295.1,63.66,14.37,0.951,0,28.67,15.55,21.81,14.94,354.2,35.76,1.222,5.45
"2018-11-15",NA,0,0,NA,0,0,0,0,0,0,0,0,0,100,58.2,1470,337.5,63.36,15.15,1.017,0,28.62,16.36,22.72,15.38,356.8,42.92,1.553,6.95
"2018-11-16",NA,0,0,NA,0,0,0,0,0,0,0,0,0,100,59.33,1402,366.7,60.4,17.08,1.127,0,30.47,18.21,24.74,17.48,15.23,31.66,1.869,6.8
"2018-11-17",NA,0,0,NA,0,0,0,0,0,0,0,0,0,99.6,50.38,1281,335.5,51.87,15.09,1.083,0,32.44,20.6,25.64,20.04,89.1,85.9,1.988,8.68
"2018-11-18",NA,0,0,NA,0,0,0,0,0,0,0,0,0,94.2,54.22,1340,307,57.46,14.88,0.972,0,28.12,19.27,23.48,18.99,156.4,42.31,1.553,5.975
"2018-11-19",NA,0,0,NA,0,0,0,0,0,0,0,0,0,99.5,60.27,1300,189.7,56.15,9.72,0.666,1.524,25.65,18.79,21.88,19.05,43.9,66,1.304,7.25
"2018-11-20",NA,0,0,NA,0,0,0,0,0,0,0,0,0,92.9,47.03,1206,385.6,53.7,17.96,1.213,0,33.92,20.39,26.27,20.24,355.6,45.43,2.641,8
