date_time,batt_min,check0.1,flag_tot,flag0.1,flag3.2,flag3.6,flag4.1,flag4.2,flag6.2,humid_rel,pressure_atm,rad_solar_avg,rain_tot,temp_air_avg,temp_ground_avg,temp_ground_min,wind_dir,wind_dir_sd,wind_speed
"2018-11-07 14:00:00",12.67,"normal",1,0,0,1,0,0,0,60.33,101.536,432.6,0,21.77,22.61,22.31,154.7,40.05,3.286
"2018-11-07 15:00:00",12.64,"normal",1,0,0,1,0,0,0,60.36,101.5653,411.4,0,21.69,22.59,21.41,157.4,38.65,3.065
"2018-11-07 16:00:00",12.61,"normal",1,0,0,1,0,0,0,63.55,101.5714,266.2,0,21,21.3,20.81,150.4,35.53,2.801
"2018-11-07 17:00:00",12.49,"med_warn",2,1,0,1,0,0,0,64.24,101.6253,60.41,0,20.16,19.96,19.1,150.8,34.38,2.167
"2018-11-07 18:00:00",12.46,"med_warn",2,1,0,1,0,0,0,71.03,101.7445,0.682,0,18.65,18.31,17.79,173,33.11,1.224
"2018-11-07 19:00:00",12.41,"med_warn",2,1,0,1,0,0,0,87.2,101.8266,0,0,16.8,16.63,15.84,180.2,33.65,1.126
"2018-11-07 20:00:00",12.41,"med_warn",2,1,0,1,0,0,0,83.2,101.8756,0,0,16.69,16.36,15.91,195,25.91,1.346
"2018-11-07 21:00:00",12.37,"med_warn",2,1,0,1,0,0,0,80.1,101.9418,0,0,16.52,16.14,15.92,193.1,28.98,1.619
"2018-11-07 22:00:00",12.36,"med_warn",2,1,0,1,0,0,0,84.9,101.9433,0,0,16.01,15.75,15.24,188.3,28.79,1.439
"2018-11-07 23:00:00",12.37,"med_warn",2,1,0,1,0,0,0,84.8,101.9127,0,0,15.71,15.47,15.02,178.7,32.71,1.206
"2018-11-08 00:00:00",12.36,"med_warn",2,1,0,1,0,0,0,87.8,101.8592,0,0,15.68,15.38,14.68,189.4,26.13,1.337
"2018-11-08 01:00:00",12.35,"med_warn",2,1,0,1,0,0,0,89.5,101.8163,0,0,14.59,14.22,13.8,196.8,26.56,1.254
"2018-11-08 02:00:00",12.34,"med_warn",2,1,0,1,0,0,0,90.4,101.8116,0,0,13.69,13.34,13.09,200.2,25.42,1.177
"2018-11-08 03:00:00",12.33,"med_warn",2,1,0,1,0,0,0,86,101.8116,0,0,13.46,13.06,12.93,185.1,29.63,1.351
"2018-11-08 04:00:00",12.32,"med_warn",2,1,0,1,0,0,0,82.4,101.8279,0.235,0,13.69,13.14,12.99,190.9,28.34,1.212
"2018-11-08 05:00:00",12.32,"med_warn",2,1,0,1,0,0,0,75.44,101.8874,84.7,0,14.6,14.7,13.26,189.9,28.18,1.244
"2018-11-08 06:00:00",12.39,"med_warn",2,1,0,1,0,0,0,65.55,101.9466,321.7,0,16.98,18.36,16.76,192.7,30.48,1.815
"2018-11-08 07:00:00",12.46,"med_warn",2,1,0,1,0,0,0,53.48,101.9303,574.1,0,19.65,20.67,19.76,188.6,33.68,2.436
"2018-11-08 08:00:00",12.52,"normal",1,0,0,1,0,0,0,43.1,101.9232,796.8,0,21.93,23.09,21.92,171.6,41.15,2.412
"2018-11-08 09:00:00",12.61,"normal",1,0,0,1,0,0,0,40.4,101.8721,961,0,23.21,25.12,24.27,166.4,42.09,2.013
