# Citation link: https://doi.org/10.15493/OBS.MONITOR.39744624?referrer=observationmonitor.saeon.ac.za
# Data for daily on Ezibomvini AWS
Timestamp,humid_rel_max,humid_rel_min,rad_short_in_avg,rad_short_in_max,rad_short_in_tot,rain_tot,temp_air_avg,temp_air_max,temp_air_min,temp_dew_point_avg,temp_dew_point_max,temp_dew_point_min,wind_dir_avg,wind_speed_avg,wind_speed_max,wind_speed_min,Latitude,Longitude
,pcnt,pcnt,w_per_m2,w_per_m2,mj_per_m2,mm,deg_c,deg_c,deg_c,deg_c,deg_c,deg_c,deg,m_per_sec,m_per_sec,m_per_sec,,
2022-11-15T00:00:00,50.76,49.12,0.2457473,1.447605,0.007726294,1.016,23.76,25.08,21.91,12.61,13.97,10.8,146.4,0.02,0.55,0,-28.864360,29.395070
2023-05-11T00:00:00,84.3,33.04,145.1544,715.0707,5.9522,1.778,17.77,23.95,11.38,8.24,9.66,6.417,96.4,0.909,4.04,0,-28.864360,29.395070
2023-05-12T00:00:00,95.2,27.07,149.8537,718.5403,12.94736,0,16.48,26.07,8.45,7.827,10.91,5.085,147.8,0.737,3.87,0,-28.864360,29.395070
2023-05-13T00:00:00,82,33.21,141.8769,732.9322,12.25802,0,16.78,24.56,8.76,7.711,11.26,5.85,119.9,0.979,4.76,0,-28.864360,29.395070
2023-05-14T00:00:00,97.9,52.21,109.4221,748.6873,9.453738,11.68,16.01,21.81,12.38,12.44,14.32,10.95,128.4,1.155,6.43,0,-28.864360,29.395070
2023-05-15T00:00:00,100,55.04,110.6809,741.8093,9.562723,2.286,15.01,21.49,11.55,12.12,14.27,10.23,123,0.981,7.05,0,-28.864360,29.395070
2023-05-16T00:00:00,100,60.08,76.79728,1020.691,6.634978,6.604,12.04,17.69,8.72,10.44,12.08,8.39,136.2,0.937,6.27,0,-28.864360,29.395070
2023-05-17T00:00:00,99.5,49.14,147.3129,701.0389,12.72651,0,13.58,20.81,8.02,9.7,12.59,6.942,130.6,0.943,4.45,0,-28.864360,29.395070
2023-05-18T00:00:00,97.6,26.03,148.1298,706.0863,12.79812,0,14.37,23.04,6.377,6.625,11.38,1.805,141.5,0.881,4.23,0,-28.864360,29.395070
2023-05-19T00:00:00,90,36.01,116.2293,818.0881,10.04221,0,14.39,23.3,7.098,7.968,11.16,4.495,118.5,1.258,6.86,0,-28.864360,29.395070
2023-05-20T00:00:00,99.5,71.46,65.38071,827.0724,5.648566,45.97,10.32,13.17,7.338,9.09,11.26,6.131,120.2,1.087,7.85,0,-28.864360,29.395070
2023-05-21T00:00:00,100,47.52,140.8225,839.3809,12.16692,0,9.93,17.66,3.722,6.443,9.73,3.597,140.1,0.847,5.47,0,-28.864360,29.395070
2023-05-22T00:00:00,95.3,17.92,149.8815,694.6434,12.94976,0,12.64,23.24,3.554,4.07,9.6,-3.318,120.9,0.952,4.47,0,-28.864360,29.395070
2023-05-23T00:00:00,90.8,55.21,73.85422,643.0275,6.380709,0,10.57,14.5,6.363,6.046,8.83,2.546,118.5,0.848,4,0.01,-28.864360,29.395070
2023-05-24T00:00:00,98.4,43.15,121.4149,825.5022,10.49025,0,11.14,19.86,4.839,7.028,9.55,4.114,152.3,0.876,5.21,0,-28.864360,29.395070
2023-05-25T00:00:00,96.6,33.08,147.5746,685.0999,12.75,0,13.48,22.59,4.921,6.244,10.2,3.926,135.3,0.974,4.85,0,-28.864360,29.395070
2023-05-26T00:00:00,77.8,24.93,137.6079,654.4015,11.88933,0,18.53,27.58,8.99,6.092,9.73,4.312,28.09,1.809,13.19,0,-28.864360,29.395070
