# Citation link: https://doi.org/10.15493/OBS.MONITOR.39744624?referrer=observationmonitor.saeon.ac.za
# Data for hourly on Ezibomvini AWS
Timestamp,humid_rel,rad_short_in_avg,rad_short_in_tot,rain_tot,temp_air_avg,temp_dew_point_avg,wind_dir_avg,wind_speed_avg,wind_speed_max,wind_speed_min,Latitude,Longitude
,pcnt,w_per_m2,mj_per_m2,mm,deg_c,deg_c,deg,m_per_sec,m_per_sec,m_per_sec,,
2022-11-14T16:00:00,50.3,0.9099084,0.002402158,1.016,24.79,13.85,144.2,0.038,0.55,0,-28.864360,29.395070
2022-11-14T17:00:00,49.5,0.9552743,0.003438988,0,25,13.82,151.5,0.03,0.37,0,-28.864360,29.395070
2022-11-14T18:00:00,49.54,0.4338282,0.001561782,0,24.88,13.6,141.8,0.025,0.32,0,-28.864360,29.395070
2022-11-14T19:00:00,49.72,0.08948383,0.0003221418,0,24.48,13.29,NAN,0.021,0.03,0.01,-28.864360,29.395070
2022-11-14T20:00:00,49.68,0.0003404126,0.000001225485,0,23.98,12.86,NAN,0.02,0.03,0.01,-28.864360,29.395070
2022-11-14T21:00:00,49.45,0,0,0,23.44,12.32,NAN,0.02,0.03,0.01,-28.864360,29.395070
2022-11-14T22:00:00,49.18,0,0,0,22.94,11.77,NAN,0.013,0.03,0,-28.864360,29.395070
2022-11-14T23:00:00,49.16,0,0,0,22.49,11.32,NAN,0.013,0.03,0,-28.864360,29.395070
2022-11-15T00:00:00,49.24,0,0,0,22.1,10.97,NAN,0.009,0.04,0,-28.864360,29.395070
2022-11-15T01:00:00,49.23,0,0,0,21.79,10.69,23.62,0.012,0.07,0,-28.864360,29.395070
2022-11-15T02:00:00,49.31,0,0,0,21.52,10.46,359.9,0.036,0.12,0,-28.864360,29.395070
2022-11-15T03:00:00,49.38,0,0,0,21.18,10.17,5.642,0.036,0.15,0,-28.864360,29.395070
2022-11-15T04:00:00,49.55,0,0,0,20.87,9.92,357.5,0.031,0.09,0,-28.864360,29.395070
2022-11-15T05:00:00,49.76,0.000002127579,7.659284e-9,0,20.64,9.76,207.5,0.032,0.09,0,-28.864360,29.395070
2022-11-15T06:00:00,50.09,0.00001063789,3.829642e-8,0,20.51,9.72,204.5,0.029,0.09,0,-28.864360,29.395070
2022-11-15T07:00:00,50.41,0.0001063789,3.829642e-7,0,20.38,9.7,206.2,0.025,0.09,0,-28.864360,29.395070
2022-11-15T08:00:00,51.02,0.3860407,0.001389746,0,20.41,9.84,120,0.021,0.57,0,-28.864360,29.395070
2022-11-15T09:00:00,51.86,0.9776713,0.003519617,0,20.88,10.52,105.5,0.028,0.55,0,-28.864360,29.395070
2022-11-15T10:00:00,52.49,1.200999,0.004323597,0,21.42,11.24,151.7,0.033,0.62,0,-28.864360,29.395070
2023-05-10T13:00:00,40.15,276.7911,0.389445,1.778,22.7,8.1,47.25,1.272,3.58,0.03,-28.864360,29.395070
2023-05-10T14:00:00,38.72,574.295,2.067462,0,22.85,7.603,337.1,1.238,3.72,0.02,-28.864360,29.395070
2023-05-10T15:00:00,35.23,517.0212,1.861277,0,23.49,7.501,5.472,1.197,3.55,0.01,-28.864360,29.395070
2023-05-10T16:00:00,38.12,327.4867,1.178952,0,23.39,7.698,38.31,1.411,3.65,0.03,-28.864360,29.395070
2023-05-10T17:00:00,43.89,122.185,0.4397437,0,21.93,7.8,80.6,1.792,4.04,0.4,-28.864360,29.395070
2023-05-10T18:00:00,52.18,4.255689,0.01532048,0,18.86,7.714,144.7,1.095,2.23,0.16,-28.864360,29.395070
2023-05-10T19:00:00,61.29,0,0,0,17.13,8.23,138.8,0.889,2.91,0.01,-28.864360,29.395070
2023-05-10T20:00:00,72.97,0,0,0,14.46,8.5,254.5,0.586,2.98,0,-28.864360,29.395070
2023-05-10T21:00:00,76.11,0,0,0,13.37,8.76,107,0.419,1.65,0.01,-28.864360,29.395070
2023-05-10T22:00:00,75.61,0,0,0,13.74,8.96,154.3,0.44,1.28,0.01,-28.864360,29.395070
2023-05-10T23:00:00,78.23,0,0,0,12.49,8.94,183.4,0.353,0.81,0.01,-28.864360,29.395070
2023-05-11T00:00:00,83,0,0,0,11.88,8.95,159.9,0.417,0.81,0.03,-28.864360,29.395070
2023-05-11T01:00:00,86,0,0,0,11.53,8.84,148.4,0.538,1.14,0.01,-28.864360,29.395070
2023-05-11T02:00:00,82.1,0,0,0,10.84,8.64,196.6,0.811,2.24,0.01,-28.864360,29.395070
2023-05-11T03:00:00,81.1,0,0,0,11.86,7.95,144,0.653,1.63,0.02,-28.864360,29.395070
2023-05-11T04:00:00,89.1,0,0,0,10.37,7.954,174.7,0.623,1.49,0.01,-28.864360,29.395070
2023-05-11T05:00:00,91.7,0,0,0,9.94,8.18,113,0.482,1.37,0.02,-28.864360,29.395070
2023-05-11T06:00:00,91.7,0,0,0,9.09,7.861,186.7,0.657,1.94,0.01,-28.864360,29.395070
2023-05-11T07:00:00,93.7,3.82061,0.0137542,0,9.17,7.879,149.6,0.513,1.68,0.05,-28.864360,29.395070
2023-05-11T08:00:00,85.4,147.5821,0.5312956,0,10.62,8.6,220.6,0.322,0.87,0.01,-28.864360,29.395070
2023-05-11T09:00:00,64.51,353.114,1.271211,0,14.33,9.82,228.4,0.493,1.3,0.01,-28.864360,29.395070
2023-05-11T10:00:00,52.66,535.2176,1.926783,0,17.51,8.81,356.4,0.647,1.88,0,-28.864360,29.395070
2023-05-11T11:00:00,46.14,663.4913,2.388569,0,19.76,8.42,52.26,0.815,2.32,0,-28.864360,29.395070
2023-05-11T12:00:00,39.53,183.6858,0.661269,0,21.75,8.55,86.8,0.804,2.7,0.01,-28.864360,29.395070
2023-05-11T13:00:00,32.86,150.3137,0.5411293,0,23.55,7.371,268.4,1.054,3.78,0,-28.864360,29.395070
2023-05-11T14:00:00,32.47,574.1979,2.067112,0,25.1,6.832,350.4,1.222,3.87,0.02,-28.864360,29.395070
2023-05-11T15:00:00,28.2,521.1814,1.876253,0,25.6,6.727,57.22,1.127,3.35,0.01,-28.864360,29.395070
2023-05-11T16:00:00,29.45,335.2554,1.20692,0,25.75,6.203,82,1.139,3.7,0,-28.864360,29.395070
2023-05-11T17:00:00,35.13,125.0047,0.4500171,0,24.77,6.798,120.9,1.204,3.16,0.22,-28.864360,29.395070
2023-05-11T18:00:00,49.15,3.624543,0.01304836,0,20.48,7.825,152.9,0.997,2.78,0.01,-28.864360,29.395070
2023-05-11T19:00:00,55.86,0,0,0,17.86,7.774,144.7,0.559,1.77,0.02,-28.864360,29.395070
2023-05-11T20:00:00,54.74,0,0,0,16.98,7.287,136.8,0.67,1.72,0.01,-28.864360,29.395070
2023-05-11T21:00:00,60.35,0,0,0,14.85,7.564,204,0.552,1.59,0,-28.864360,29.395070
2023-05-11T22:00:00,60.29,0,0,0,15.82,7.274,157.4,0.863,1.72,0.06,-28.864360,29.395070
2023-05-11T23:00:00,61.15,0,0,0,14.42,7.378,119.2,0.527,1.61,0.01,-28.864360,29.395070
2023-05-12T00:00:00,63.78,0,0,0,13.65,7.312,217.7,0.403,1.11,0,-28.864360,29.395070
2023-05-12T01:00:00,61.23,0,0,0,14.67,7.115,108.8,0.744,1.97,0.03,-28.864360,29.395070
2023-05-12T02:00:00,64.13,0,0,0,14.29,6.959,144.1,0.451,1.27,0,-28.864360,29.395070
2023-05-12T03:00:00,64.44,0,0,0,12.9,6.871,198,0.537,1.13,0.02,-28.864360,29.395070
2023-05-12T04:00:00,65.98,0,0,0,12.17,6.761,188.1,0.448,1.71,0,-28.864360,29.395070
2023-05-12T05:00:00,61.29,0,0,0,13.25,6.677,117.9,0.571,1.6,0,-28.864360,29.395070
