# Citation link: https://doi.org/10.15493/OBS.MONITOR.41183728?referrer=observationmonitor.saeon.ac.za
# Data for hourly on Vasi Science Centre AWS
Timestamp,batt_min,humid_rel,moisture_soil_avg,pressure_atm,rad_solar_avg,rad_uv_avg,rain_tot,temp_air_avg,temp_ground_avg,temp_ground_min,wind_dir,wind_dir_sd,wind_speed,Latitude,Longitude
,v,pcnt,pcnt,hpa,w_per_m2,w_per_m2,mm,deg_c,deg_c,deg_c,deg,deg,m_per_sec,,
2018-11-07T15:00:00,12.67,60.33,0.001,101.536,432.6,23.11,0.762,21.77,22.61,22.31,154.7,40.05,3.286,-27.164693,32.713983
2018-11-07T16:00:00,12.64,60.36,0.077,101.5653,411.4,19.24,0.0,21.69,22.59,21.41,157.4,38.65,3.065,-27.164693,32.713983
2018-11-07T17:00:00,12.61,63.55,0.077,101.5714,266.2,10.81,0.0,21.0,21.3,20.81,150.4,35.53,2.801,-27.164693,32.713983
2018-11-07T18:00:00,12.49,64.24,0.077,101.6253,60.41,3.637,0.0,20.16,19.96,19.1,150.8,34.38,2.167,-27.164693,32.713983
2018-11-07T19:00:00,12.46,71.03,0.076,101.7445,0.682,0.122,0.0,18.65,18.31,17.79,173.0,33.11,1.224,-27.164693,32.713983
2018-11-07T20:00:00,12.41,87.2,0.076,101.8266,0.0,0.0,0.0,16.8,16.63,15.84,180.2,33.65,1.126,-27.164693,32.713983
2018-11-07T21:00:00,12.41,83.2,0.076,101.8756,0.0,0.0,0.0,16.69,16.36,15.91,195.0,25.91,1.346,-27.164693,32.713983
2018-11-07T22:00:00,12.37,80.1,0.076,101.9418,0.0,0.0,0.0,16.52,16.14,15.92,193.1,28.98,1.619,-27.164693,32.713983
2018-11-07T23:00:00,12.36,84.9,0.075,101.9433,0.0,0.0,0.0,16.01,15.75,15.24,188.3,28.79,1.439,-27.164693,32.713983
2018-11-08T00:00:00,12.37,84.8,0.075,101.9127,0.0,0.0,0.0,15.71,15.47,15.02,178.7,32.71,1.206,-27.164693,32.713983
2018-11-08T01:00:00,12.36,87.8,0.075,101.8592,0.0,0.0,0.0,15.68,15.38,14.68,189.4,26.13,1.337,-27.164693,32.713983
2018-11-08T02:00:00,12.35,89.5,0.075,101.8163,0.0,0.0,0.0,14.59,14.22,13.8,196.8,26.56,1.254,-27.164693,32.713983
2018-11-08T03:00:00,12.34,90.4,0.075,101.8116,0.0,0.0,0.0,13.69,13.34,13.09,200.2,25.42,1.177,-27.164693,32.713983
2018-11-08T04:00:00,12.33,86.0,0.075,101.8116,0.0,0.0,0.0,13.46,13.06,12.93,185.1,29.63,1.351,-27.164693,32.713983
2018-11-08T05:00:00,12.32,82.4,0.074,101.8279,0.235,0.072,0.0,13.69,13.14,12.99,190.9,28.34,1.212,-27.164693,32.713983
2018-11-08T06:00:00,12.32,75.44,0.074,101.8874,84.7,3.315,0.0,14.6,14.7,13.26,189.9,28.18,1.244,-27.164693,32.713983
2018-11-08T07:00:00,12.39,65.55,0.074,101.9466,321.7,12.61,0.0,16.98,18.36,16.76,192.7,30.48,1.815,-27.164693,32.713983
2018-11-08T08:00:00,12.46,53.48,0.073,101.9303,574.1,24.74,0.0,19.65,20.67,19.76,188.6,33.68,2.436,-27.164693,32.713983
2018-11-08T09:00:00,12.52,43.1,0.074,101.9232,796.8,35.82,0.0,21.93,23.09,21.92,171.6,41.15,2.412,-27.164693,32.713983
2018-11-08T10:00:00,12.61,40.4,0.073,101.8721,961.0,44.17,0.0,23.21,25.12,24.27,166.4,42.09,2.013,-27.164693,32.713983
2018-11-08T11:00:00,12.75,40.72,0.073,101.7914,1078.0,51.96,0.0,24.05,26.45,25.71,165.4,47.53,1.855,-27.164693,32.713983
2018-11-08T12:00:00,12.77,42.95,0.073,101.7004,932.0,47.66,0.0,24.3,26.45,23.85,132.3,47.51,1.738,-27.164693,32.713983
2018-11-08T13:00:00,12.86,49.16,0.073,101.6273,985.0,48.03,0.0,24.75,27.18,25.18,133.4,44.3,1.645,-27.164693,32.713983
2018-11-08T14:00:00,12.93,48.8,0.072,101.507,787.4,39.45,0.0,23.79,25.72,24.02,107.1,42.23,2.242,-27.164693,32.713983
2018-11-08T15:00:00,12.99,50.85,0.072,101.4805,799.3,37.36,0.0,23.75,25.89,25.06,114.5,42.31,2.201,-27.164693,32.713983
2018-11-08T16:00:00,12.97,58.55,0.072,101.4337,581.8,25.69,0.0,23.01,24.42,23.33,93.7,34.89,2.375,-27.164693,32.713983
2018-11-08T17:00:00,12.82,63.47,0.072,101.4093,332.3,13.28,0.0,21.82,22.25,20.78,85.9,28.87,2.372,-27.164693,32.713983
2018-11-08T18:00:00,12.73,68.86,0.071,101.444,47.85,3.719,0.0,20.16,19.81,18.79,85.3,24.9,1.356,-27.164693,32.713983
2018-11-08T19:00:00,12.7,74.3,0.071,101.4757,0.721,0.144,0.0,17.94,17.4,16.62,101.2,16.55,0.217,-27.164693,32.713983
2018-11-08T20:00:00,12.67,78.34,0.071,101.5086,0.0,0.0,0.0,16.82,15.71,15.03,141.2,3.118,0.013,-27.164693,32.713983
2018-11-08T21:00:00,12.62,88.2,0.071,101.5658,0.0,0.0,0.0,15.84,14.63,13.82,175.2,4.297,0.059,-27.164693,32.713983
2018-11-08T22:00:00,12.61,94.8,0.07,101.6068,0.0,0.0,0.0,13.52,13.43,13.14,243.2,0.582,0.003,-27.164693,32.713983
2018-11-08T23:00:00,12.59,94.9,0.07,101.5586,0.0,0.0,0.0,13.38,13.13,12.75,214.0,1.871,0.049,-27.164693,32.713983
2018-11-09T00:00:00,12.61,95.9,0.07,101.5178,0.0,0.0,0.0,12.79,12.67,12.47,216.3,0.001,0.002,-27.164693,32.713983
2018-11-09T01:00:00,12.58,97.8,0.07,101.4933,0.0,0.0,0.0,12.58,12.37,12.22,209.3,0.87,0.008,-27.164693,32.713983
2018-11-09T02:00:00,12.59,98.0,0.07,101.4606,0.0,0.0,0.0,12.58,12.31,12.07,214.9,1.508,0.019,-27.164693,32.713983
2018-11-09T03:00:00,12.57,97.8,0.07,101.4525,0.0,0.0,0.0,12.11,12.01,11.63,219.0,2.833,0.006,-27.164693,32.713983
2018-11-09T04:00:00,12.56,94.6,0.07,101.4525,0.0,0.0,0.0,12.57,12.14,11.49,206.3,7.426,0.085,-27.164693,32.713983
2018-11-09T05:00:00,12.57,98.5,0.07,101.4443,0.331,0.073,0.0,11.57,11.74,11.5,0.0,0.0,0.0,-27.164693,32.713983
2018-11-09T06:00:00,12.57,89.5,0.07,101.5259,90.7,3.088,0.0,13.19,14.06,11.51,58.08,0.0,0.001,-27.164693,32.713983
2018-11-09T07:00:00,12.69,71.5,0.07,101.5857,301.8,11.87,0.0,19.1,20.4,18.02,226.8,36.29,0.521,-27.164693,32.713983
2018-11-09T08:00:00,12.84,58.46,0.07,101.5808,546.2,23.68,0.0,21.5,22.64,21.76,310.1,46.49,0.962,-27.164693,32.713983
2018-11-09T09:00:00,12.99,59.39,0.07,101.597,421.3,21.56,0.0,22.25,23.83,23.23,333.0,32.99,1.594,-27.164693,32.713983
2018-11-09T10:00:00,13.15,55.57,0.069,101.5643,448.3,23.83,0.0,22.81,24.63,23.76,344.5,37.34,1.159,-27.164693,32.713983
