"Plot Title: Coastal Cashews"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20116788, SEN S/N: 20116788)","Coupler Detached (LGR S/N: 20116788)","Coupler Attached (LGR S/N: 20116788)","Host Connected (LGR S/N: 20116788)","Stopped (LGR S/N: 20116788)","End Of File (LGR S/N: 20116788)"
1,19/07/09 10:05:04 AM,0.000,,,,,
2,19/07/09 10:05:12 AM,,Logged,,,,
3,19/08/09 01:18:51 PM,0.254,,,,,
4,19/08/09 02:18:27 PM,0.508,,,,,
5,19/08/09 02:54:02 PM,0.762,,,,,
6,19/08/09 05:55:00 PM,1.016,,,,,
7,19/08/09 08:01:22 PM,1.270,,,,,
8,19/08/09 08:13:13 PM,1.524,,,,,
9,19/08/09 09:02:08 PM,1.778,,,,,
10,19/08/13 03:21:05 PM,,,Logged,,,
11,19/08/13 03:21:14 PM,,,,Logged,,
12,19/08/13 03:21:31 PM,1.778,,,,Logged,Logged
