"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","Stopped (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)"
1,19/04/08 09:15:39 PM,0.000,,,,,
2,19/04/08 09:16:25 PM,,Logged,,,,
3,19/04/10 11:39:43 PM,0.254,,,,,
4,19/04/10 11:40:41 PM,0.508,,,,,
5,19/04/10 11:41:06 PM,0.762,,,,,
6,19/04/10 11:41:24 PM,1.016,,,,,
7,19/04/10 11:41:49 PM,1.270,,,,,
8,19/04/10 11:42:12 PM,1.524,,,,,
9,19/04/10 11:42:36 PM,1.778,,,,,
10,19/04/10 11:42:56 PM,2.032,,,,,
11,19/04/10 11:43:19 PM,2.286,,,,,
12,19/04/10 11:43:37 PM,2.540,,,,,
13,19/04/10 11:43:56 PM,2.794,,,,,
14,19/04/10 11:44:21 PM,3.048,,,,,
15,19/04/10 11:44:52 PM,3.302,,,,,
16,19/04/10 11:45:21 PM,3.556,,,,,
17,19/04/10 11:45:39 PM,3.810,,,,,
18,19/04/10 11:47:26 PM,4.064,,,,,
19,19/04/11 12:59:11 AM,4.318,,,,,
20,19/04/13 01:14:12 AM,4.572,,,,,
21,19/04/15 06:50:02 PM,4.826,,,,,
22,19/04/15 06:53:51 PM,5.080,,,,,
23,19/04/15 06:57:18 PM,5.334,,,,,
24,19/04/15 07:02:20 PM,5.588,,,,,
25,19/04/15 07:09:29 PM,5.842,,,,,
26,19/04/15 07:15:42 PM,6.096,,,,,
27,19/04/15 07:24:15 PM,6.350,,,,,
28,19/04/15 07:30:16 PM,6.604,,,,,
29,19/04/15 07:39:12 PM,6.858,,,,,
30,19/04/15 07:55:50 PM,7.112,,,,,
31,19/04/15 08:07:11 PM,7.366,,,,,
32,19/04/15 08:15:08 PM,7.620,,,,,
