"Plot Title: Sileza"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102559, SEN S/N: 20102559)","Coupler Detached (LGR S/N: 20102559)","Coupler Attached (LGR S/N: 20102559)","Host Connected (LGR S/N: 20102559)","Stopped (LGR S/N: 20102559)","End Of File (LGR S/N: 20102559)"
1,18/12/06 10:01:28 AM,0.000,,,,,
2,18/12/06 10:01:56 AM,,Logged,,,,
3,18/12/06 10:02:32 AM,0.254,,,,,
4,18/12/08 04:59:26 PM,0.508,,,,,
5,18/12/08 05:01:00 PM,0.762,,,,,
6,18/12/08 05:01:38 PM,1.016,,,,,
7,18/12/08 05:02:19 PM,1.270,,,,,
8,18/12/08 05:02:51 PM,1.524,,,,,
9,18/12/08 05:02:52 PM,1.778,,,,,
10,18/12/08 05:03:35 PM,2.032,,,,,
11,18/12/08 05:04:06 PM,2.286,,,,,
12,18/12/08 05:04:50 PM,2.540,,,,,
13,18/12/08 05:05:21 PM,2.794,,,,,
14,18/12/08 05:05:22 PM,3.048,,,,,
15,18/12/08 05:05:55 PM,3.302,,,,,
16,18/12/08 05:06:31 PM,3.556,,,,,
17,18/12/08 05:07:07 PM,3.810,,,,,
18,18/12/08 05:07:32 PM,4.064,,,,,
19,18/12/08 05:07:59 PM,4.318,,,,,
20,18/12/08 05:08:00 PM,4.572,,,,,
21,18/12/08 05:08:17 PM,4.826,,,,,
22,18/12/08 05:08:18 PM,5.080,,,,,
23,18/12/08 05:08:47 PM,5.334,,,,,
24,18/12/08 05:09:18 PM,5.588,,,,,
25,18/12/08 05:09:47 PM,5.842,,,,,
26,18/12/08 05:10:12 PM,6.096,,,,,
27,18/12/08 05:10:44 PM,6.350,,,,,
28,18/12/08 05:11:06 PM,6.604,,,,,
29,18/12/08 05:11:31 PM,6.858,,,,,
30,18/12/08 05:11:51 PM,7.112,,,,,
31,18/12/08 05:11:52 PM,7.366,,,,,
32,18/12/08 05:12:07 PM,7.620,,,,,
33,18/12/08 05:12:08 PM,7.874,,,,,
34,18/12/08 05:12:23 PM,8.128,,,,,
35,18/12/08 05:12:39 PM,8.382,,,,,
36,18/12/08 05:12:53 PM,8.636,,,,,
37,18/12/08 05:13:11 PM,8.890,,,,,
38,18/12/08 05:13:32 PM,9.144,,,,,
39,18/12/08 05:14:03 PM,9.398,,,,,
40,18/12/08 05:14:19 PM,9.652,,,,,
41,18/12/08 05:14:44 PM,9.906,,,,,
42,18/12/08 05:15:05 PM,10.160,,,,,
43,18/12/08 05:15:27 PM,10.414,,,,,
