"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","Host Connected (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
1,21/02/11 09:55:32 AM,,,,,,Logged,,,
2,21/03/11 09:26:13 AM,,,,,,,Logged,,
3,21/03/11 09:26:18 AM,,,,,,,,Logged,
4,21/03/11 09:26:59 AM,,,,,,Logged,,,
5,21/03/11 03:43:56 PM,0.000,,,,,,,,
6,21/03/11 03:44:03 PM,,Logged,,,,,,,
7,21/03/12 02:29:47 AM,0.254,,,,,,,,
8,21/03/12 02:29:57 AM,0.508,,,,,,,,
9,21/03/12 02:30:05 AM,0.762,,,,,,,,
10,21/03/12 02:30:12 AM,1.016,,,,,,,,
11,21/03/12 02:30:18 AM,1.270,,,,,,,,
12,21/03/12 02:30:25 AM,1.524,,,,,,,,
13,21/03/12 02:30:32 AM,1.778,,,,,,,,
14,21/03/12 02:30:39 AM,2.032,,,,,,,,
15,21/03/12 02:30:47 AM,2.286,,,,,,,,
16,21/03/12 02:30:54 AM,2.540,,,,,,,,
17,21/03/12 02:31:01 AM,2.794,,,,,,,,
18,21/03/12 02:31:09 AM,3.048,,,,,,,,
19,21/03/12 02:31:17 AM,3.302,,,,,,,,
20,21/03/12 02:31:24 AM,3.556,,,,,,,,
21,21/03/12 02:31:31 AM,3.810,,,,,,,,
22,21/03/12 02:31:40 AM,4.064,,,,,,,,
23,21/03/12 02:31:50 AM,4.318,,,,,,,,
24,21/03/12 02:32:01 AM,4.572,,,,,,,,
25,21/03/12 02:32:11 AM,4.826,,,,,,,,
26,21/03/12 02:32:21 AM,5.080,,,,,,,,
27,21/03/12 02:32:31 AM,5.334,,,,,,,,
28,21/03/12 02:32:44 AM,5.588,,,,,,,,
29,21/03/12 02:33:03 AM,5.842,,,,,,,,
30,21/03/12 02:33:16 AM,6.096,,,,,,,,
31,21/03/12 02:33:31 AM,6.350,,,,,,,,
32,21/03/12 02:35:11 AM,6.604,,,,,,,,
33,21/03/12 03:58:59 AM,6.858,,,,,,,,
34,21/03/12 04:04:28 AM,7.112,,,,,,,,
35,21/03/12 04:18:48 AM,7.366,,,,,,,,
