"Plot Title: Coastal Cashews"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20116788, SEN S/N: 20116788)","Coupler Detached (LGR S/N: 20116788)","Coupler Attached (LGR S/N: 20116788)","Host Connected (LGR S/N: 20116788)","End Of File (LGR S/N: 20116788)"
1,05/17/2022 02:56:22 PM,0.000,,,,
2,05/17/2022 02:56:40 PM,,Logged,,,
3,05/21/2022 05:54:44 AM,0.254,,,,
4,05/21/2022 05:59:53 AM,0.508,,,,
5,05/21/2022 06:06:46 AM,0.762,,,,
6,05/21/2022 06:11:03 AM,1.016,,,,
7,05/21/2022 06:12:41 AM,1.270,,,,
8,05/21/2022 06:15:51 AM,1.524,,,,
9,05/21/2022 06:16:56 AM,1.778,,,,
10,05/21/2022 06:17:32 AM,2.032,,,,
11,05/21/2022 06:18:01 AM,2.286,,,,
12,05/21/2022 06:19:50 AM,2.540,,,,
13,05/21/2022 06:21:00 AM,2.794,,,,
14,05/21/2022 06:22:25 AM,3.048,,,,
15,05/21/2022 06:25:06 AM,3.302,,,,
16,05/21/2022 06:29:23 AM,3.556,,,,
17,05/21/2022 06:32:51 AM,3.810,,,,
18,05/21/2022 06:38:42 AM,4.064,,,,
19,05/21/2022 07:04:25 AM,4.318,,,,
20,05/21/2022 11:52:34 AM,4.572,,,,
21,05/21/2022 12:00:05 PM,4.826,,,,
22,05/21/2022 12:16:45 PM,5.080,,,,
23,05/21/2022 12:26:18 PM,5.334,,,,
24,05/21/2022 12:58:23 PM,5.588,,,,
25,05/22/2022 10:27:37 PM,5.842,,,,
26,05/23/2022 10:02:05 AM,6.096,,,,
27,05/23/2022 10:05:48 AM,6.350,,,,
28,05/23/2022 10:07:36 AM,6.604,,,,
29,05/23/2022 10:08:49 AM,6.858,,,,
30,05/23/2022 10:10:39 AM,7.112,,,,
31,05/23/2022 10:13:43 AM,7.366,,,,
32,05/23/2022 10:16:48 AM,7.620,,,,
33,05/23/2022 10:18:26 AM,7.874,,,,
34,05/23/2022 10:20:53 AM,8.128,,,,
35,05/23/2022 10:23:28 AM,8.382,,,,
36,05/23/2022 10:26:48 AM,8.636,,,,
37,05/23/2022 10:29:26 AM,8.890,,,,
38,05/23/2022 10:35:01 AM,9.144,,,,
39,05/23/2022 10:39:45 AM,9.398,,,,
40,05/23/2022 10:45:48 AM,9.652,,,,
41,05/23/2022 10:57:26 AM,9.906,,,,
42,05/23/2022 11:21:13 AM,10.160,,,,
43,05/23/2022 11:40:16 AM,10.414,,,,
44,05/23/2022 11:49:30 AM,10.668,,,,
45,05/23/2022 12:02:54 PM,10.922,,,,
46,05/23/2022 12:09:23 PM,11.176,,,,
47,05/23/2022 12:11:34 PM,11.430,,,,
48,05/23/2022 12:16:08 PM,11.684,,,,
49,05/23/2022 12:23:01 PM,11.938,,,,
50,05/23/2022 12:33:15 PM,12.192,,,,
51,05/23/2022 12:40:19 PM,12.446,,,,
52,05/23/2022 12:47:01 PM,12.700,,,,
53,05/23/2022 12:49:46 PM,12.954,,,,
54,05/23/2022 12:51:35 PM,13.208,,,,
55,05/23/2022 12:54:39 PM,13.462,,,,
56,05/23/2022 12:58:18 PM,13.716,,,,
57,05/23/2022 01:02:33 PM,13.970,,,,
58,05/23/2022 01:07:50 PM,14.224,,,,
59,05/23/2022 01:10:34 PM,14.478,,,,
60,05/23/2022 01:11:50 PM,14.732,,,,
