"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Event, mm (LGR S/N: 20102572, SEN S/N: 20102572)","Coupler Detached (LGR S/N: 20102572)","Coupler Attached (LGR S/N: 20102572)","Host Connected (LGR S/N: 20102572)","End Of File (LGR S/N: 20102572)"
1,08/16/2022 12:09:22,0.000,,,,
2,08/16/2022 12:09:32,,Logged,,,
3,08/20/2022 23:40:20,0.254,,,,
4,08/30/2022 00:41:56,0.508,,,,
5,08/30/2022 05:14:42,0.762,,,,
6,08/30/2022 05:34:04,1.016,,,,
7,08/30/2022 05:48:00,1.270,,,,
8,08/30/2022 05:59:33,1.524,,,,
9,08/30/2022 06:10:44,1.778,,,,
10,08/30/2022 06:20:34,2.032,,,,
11,08/30/2022 06:31:16,2.286,,,,
12,08/30/2022 06:51:05,2.540,,,,
13,08/30/2022 06:52:43,2.794,,,,
14,08/30/2022 06:54:16,3.048,,,,
15,08/30/2022 07:05:15,3.302,,,,
16,08/30/2022 07:11:35,3.556,,,,
17,08/30/2022 07:12:35,3.810,,,,
18,08/30/2022 07:14:08,4.064,,,,
19,08/30/2022 07:15:09,4.318,,,,
20,08/30/2022 07:17:28,4.572,,,,
21,08/30/2022 07:27:00,4.826,,,,
22,08/30/2022 07:44:26,5.080,,,,
23,08/30/2022 08:09:03,5.334,,,,
24,08/30/2022 08:35:20,5.588,,,,
25,08/30/2022 08:57:59,5.842,,,,
26,09/03/2022 08:45:47,6.096,,,,
27,09/03/2022 08:50:00,6.350,,,,
28,09/03/2022 08:50:03,6.604,,,,
29,09/03/2022 08:50:04,6.858,,,,
30,09/03/2022 08:50:05,7.112,,,,
31,09/03/2022 08:50:06,7.366,,,,
32,09/03/2022 08:50:07,7.620,,,,
33,09/12/2022 21:49:36,7.874,,,,
34,09/12/2022 21:53:04,8.128,,,,
35,09/12/2022 21:56:58,8.382,,,,
36,09/12/2022 21:59:31,8.636,,,,
37,09/12/2022 22:01:45,8.890,,,,
38,09/12/2022 22:15:37,9.144,,,,
39,09/12/2022 23:54:49,9.398,,,,
40,09/12/2022 23:59:34,9.652,,,,
41,09/13/2022 00:04:53,9.906,,,,
42,09/13/2022 00:08:47,10.160,,,,
43,09/13/2022 00:45:09,10.414,,,,
44,09/13/2022 00:45:55,10.668,,,,
45,09/13/2022 00:46:33,10.922,,,,
46,09/13/2022 00:47:59,11.176,,,,
47,09/13/2022 00:49:11,11.430,,,,
48,09/13/2022 00:49:49,11.684,,,,
49,09/13/2022 00:50:13,11.938,,,,
50,09/13/2022 00:50:50,12.192,,,,
51,09/13/2022 00:52:54,12.446,,,,
52,09/13/2022 00:55:01,12.700,,,,
53,09/13/2022 00:56:20,12.954,,,,
54,09/13/2022 00:56:42,13.208,,,,
55,09/13/2022 00:57:34,13.462,,,,
56,09/13/2022 00:58:42,13.716,,,,
57,09/13/2022 01:02:58,13.970,,,,
58,09/13/2022 01:07:32,14.224,,,,
59,09/13/2022 02:50:45,14.478,,,,
60,09/13/2022 03:42:45,14.732,,,,
61,09/15/2022 15:24:08,14.986,,,,
62,09/15/2022 15:24:11,,,Logged,,
63,09/15/2022 15:24:21,,,,Logged,
64,09/15/2022 15:24:22,14.986,,,,Logged
