"Plot Title: Mseleni TC "
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112167, SEN S/N: 20112167)","Host Connected (LGR S/N: 20112167)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
1,10/22/2021 11:17:04 AM,0.000,,,,
2,10/22/2021 11:17:12 AM,,Logged,,,
3,10/22/2021 11:17:15 AM,,,Logged,,
4,10/25/2021 02:19:35 PM,0.254,,,,
5,10/25/2021 02:32:55 PM,0.508,,,,
6,10/25/2021 02:43:42 PM,0.762,,,,
7,10/25/2021 03:03:16 PM,1.016,,,,
8,10/25/2021 03:14:30 PM,1.270,,,,
9,10/25/2021 03:20:59 PM,1.524,,,,
10,10/25/2021 03:26:42 PM,1.778,,,,
11,10/25/2021 03:31:04 PM,2.032,,,,
12,10/25/2021 03:35:28 PM,2.286,,,,
13,10/25/2021 03:38:31 PM,2.540,,,,
14,10/25/2021 03:41:45 PM,2.794,,,,
15,10/25/2021 03:44:12 PM,3.048,,,,
16,10/25/2021 03:48:40 PM,3.302,,,,
17,10/25/2021 03:51:20 PM,3.556,,,,
18,10/25/2021 03:53:43 PM,3.810,,,,
19,10/25/2021 03:55:34 PM,4.064,,,,
20,10/25/2021 03:58:09 PM,4.318,,,,
21,10/25/2021 04:00:56 PM,4.572,,,,
22,10/25/2021 04:06:19 PM,4.826,,,,
23,10/25/2021 04:10:47 PM,5.080,,,,
24,10/25/2021 04:17:08 PM,5.334,,,,
25,10/25/2021 04:22:13 PM,5.588,,,,
26,10/25/2021 04:26:38 PM,5.842,,,,
27,10/25/2021 04:29:20 PM,6.096,,,,
28,10/25/2021 04:33:09 PM,6.350,,,,
29,10/25/2021 04:37:16 PM,6.604,,,,
30,10/25/2021 04:42:14 PM,6.858,,,,
31,10/25/2021 04:47:14 PM,7.112,,,,
32,10/25/2021 04:54:02 PM,7.366,,,,
33,10/25/2021 05:00:14 PM,7.620,,,,
34,10/25/2021 05:08:49 PM,7.874,,,,
35,10/25/2021 05:14:54 PM,8.128,,,,
36,10/25/2021 05:20:32 PM,8.382,,,,
37,10/25/2021 05:23:47 PM,8.636,,,,
38,10/25/2021 05:26:47 PM,8.890,,,,
39,10/25/2021 05:29:20 PM,9.144,,,,
40,10/25/2021 05:33:02 PM,9.398,,,,
41,10/25/2021 05:36:15 PM,9.652,,,,
42,10/25/2021 05:39:53 PM,9.906,,,,
43,10/25/2021 05:43:11 PM,10.160,,,,
44,10/25/2021 05:47:04 PM,10.414,,,,
45,10/25/2021 05:50:59 PM,10.668,,,,
46,10/25/2021 05:53:55 PM,10.922,,,,
47,10/25/2021 05:57:23 PM,11.176,,,,
48,10/25/2021 06:01:33 PM,11.430,,,,
49,10/25/2021 06:06:27 PM,11.684,,,,
50,10/25/2021 06:15:41 PM,11.938,,,,
51,10/25/2021 06:38:49 PM,12.192,,,,
52,10/25/2021 06:47:26 PM,12.446,,,,
53,10/25/2021 07:00:56 PM,12.700,,,,
54,10/25/2021 08:20:10 PM,12.954,,,,
55,10/25/2021 08:30:26 PM,13.208,,,,
56,10/25/2021 08:38:10 PM,13.462,,,,
57,10/25/2021 08:48:46 PM,13.716,,,,
58,10/25/2021 08:56:45 PM,13.970,,,,
59,10/25/2021 09:17:24 PM,14.224,,,,
60,10/25/2021 09:26:56 PM,14.478,,,,
61,10/25/2021 09:34:56 PM,14.732,,,,
62,10/25/2021 09:41:32 PM,14.986,,,,
63,10/25/2021 09:48:21 PM,15.240,,,,
64,10/25/2021 09:54:40 PM,15.494,,,,
65,10/25/2021 10:02:19 PM,15.748,,,,
66,10/25/2021 10:14:29 PM,16.002,,,,
67,10/25/2021 10:29:11 PM,16.256,,,,
68,10/25/2021 10:33:40 PM,16.510,,,,
69,10/25/2021 10:37:51 PM,16.764,,,,
70,10/25/2021 11:53:01 PM,17.018,,,,
71,10/26/2021 12:01:28 AM,17.272,,,,
72,10/26/2021 12:06:31 AM,17.526,,,,
73,10/26/2021 12:09:47 AM,17.780,,,,
74,10/26/2021 12:13:10 AM,18.034,,,,
75,10/26/2021 12:17:13 AM,18.288,,,,
76,10/26/2021 12:20:33 AM,18.542,,,,
77,10/26/2021 12:23:06 AM,18.796,,,,
78,10/26/2021 12:27:08 AM,19.050,,,,
79,10/26/2021 12:31:42 AM,19.304,,,,
80,10/26/2021 12:37:14 AM,19.558,,,,
81,10/26/2021 12:42:20 AM,19.812,,,,
82,10/26/2021 12:49:56 AM,20.066,,,,
83,10/26/2021 12:53:22 AM,20.320,,,,
84,10/26/2021 12:57:00 AM,20.574,,,,
85,10/26/2021 12:59:54 AM,20.828,,,,
86,10/26/2021 01:03:17 AM,21.082,,,,
87,10/26/2021 01:06:06 AM,21.336,,,,
88,10/26/2021 01:08:14 AM,21.590,,,,
89,10/26/2021 01:09:42 AM,21.844,,,,
90,10/26/2021 01:11:33 AM,22.098,,,,
91,10/26/2021 01:13:59 AM,22.352,,,,
92,10/26/2021 01:17:34 AM,22.606,,,,
93,10/26/2021 01:21:03 AM,22.860,,,,
94,10/26/2021 01:24:26 AM,23.114,,,,
95,10/26/2021 01:29:10 AM,23.368,,,,
96,10/26/2021 01:47:58 AM,23.622,,,,
97,10/26/2021 02:13:46 AM,23.876,,,,
98,10/26/2021 02:23:48 AM,24.130,,,,
99,10/26/2021 02:31:52 AM,24.384,,,,
100,10/26/2021 02:37:50 AM,24.638,,,,
101,10/26/2021 02:49:36 AM,24.892,,,,
102,10/26/2021 03:31:08 AM,25.146,,,,
103,10/26/2021 03:32:06 AM,25.400,,,,
104,10/26/2021 03:33:48 AM,25.654,,,,
105,10/26/2021 03:35:47 AM,25.908,,,,
106,10/26/2021 03:39:58 AM,26.162,,,,
107,10/26/2021 03:46:11 AM,26.416,,,,
