Plot Title: Sileza camp,,,,,,
#,Date Time,Rainfall (mm)  #20102559,Coupler Detached,Coupler Attached,Host Connected,End Of File
1,21/03/31 11:23:15.0,0,,,,
2,21/03/31 11:23:21.0,,Logged,,,
3,21/03/31 11:23:28.0,0.254,,,,
4,21/04/03 02:58:15.0,0.508,,,,
5,21/04/14 09:39:40.0,,,Logged,,
6,21/04/14 09:40:22.0,,,,Logged,
7,21/04/14 09:40:29.0,,,,Logged,
8,21/04/14 09:42:03.0,,Logged,,,
9,21/04/20 04:40:42.0,0.762,,,,
10,21/04/20 04:42:30.0,1.016,,,,
11,21/04/20 04:43:13.0,1.27,,,,
12,21/04/20 04:44:38.0,1.524,,,,
13,21/04/20 04:47:32.0,1.778,,,,
14,21/04/20 04:48:14.0,2.032,,,,
15,21/04/20 04:48:50.0,2.286,,,,
16,21/04/20 04:49:21.0,2.54,,,,
17,21/04/20 04:49:47.0,2.794,,,,
18,21/04/20 04:50:06.0,3.048,,,,
19,21/04/20 04:50:21.0,3.302,,,,
20,21/04/20 04:50:34.0,3.556,,,,
21,21/04/20 04:51:36.0,3.81,,,,
22,21/04/20 04:51:56.0,4.064,,,,
23,21/04/20 04:52:56.0,4.318,,,,
24,21/04/20 04:54:47.0,4.572,,,,
25,21/04/20 04:56:43.0,4.826,,,,
26,21/04/20 05:23:56.0,5.08,,,,
27,21/04/20 05:24:28.0,5.334,,,,
28,21/04/20 05:25:03.0,5.588,,,,
29,21/04/20 05:25:40.0,5.842,,,,
30,21/04/20 05:26:07.0,6.096,,,,
31,21/04/20 05:27:36.0,6.35,,,,
32,21/04/20 05:30:12.0,6.604,,,,
33,21/04/20 05:31:44.0,6.858,,,,
34,21/04/20 05:32:27.0,7.112,,,,
35,21/04/20 05:34:13.0,7.366,,,,
36,21/04/20 05:42:23.0,7.62,,,,
37,21/04/20 05:51:09.0,7.874,,,,
38,21/04/20 10:33:54.0,8.128,,,,
39,21/04/20 10:53:58.0,8.382,,,,
40,21/04/22 23:52:45.0,8.636,,,,
41,21/04/22 23:53:55.0,8.89,,,,
42,21/04/22 23:55:10.0,9.144,,,,
43,21/04/23 00:04:31.0,9.398,,,,
44,21/04/23 00:06:35.0,9.652,,,,
45,21/04/23 00:07:44.0,9.906,,,,
46,21/04/23 00:08:30.0,10.16,,,,
47,21/04/23 00:10:55.0,10.414,,,,
48,21/04/23 00:12:09.0,10.668,,,,
49,21/04/23 00:13:13.0,10.922,,,,
50,21/04/23 00:13:58.0,11.176,,,,
51,21/04/23 00:15:10.0,11.43,,,,
52,21/04/23 00:17:18.0,11.684,,,,
53,21/04/23 00:19:01.0,11.938,,,,
54,21/04/23 00:19:56.0,12.192,,,,
55,21/04/23 00:21:57.0,12.446,,,,
56,21/04/23 00:25:28.0,12.7,,,,
57,21/04/23 00:26:07.0,12.954,,,,
58,21/04/23 00:26:47.0,13.208,,,,
59,21/04/23 00:27:43.0,13.462,,,,
60,21/04/23 00:28:42.0,13.716,,,,
61,21/04/23 00:29:39.0,13.97,,,,
62,21/04/23 00:30:46.0,14.224,,,,
63,21/04/23 00:31:48.0,14.478,,,,
64,21/04/23 00:32:41.0,14.732,,,,
65,21/04/23 00:33:47.0,14.986,,,,
66,21/04/23 00:35:29.0,15.24,,,,
67,21/04/23 00:39:25.0,15.494,,,,
68,21/04/23 00:56:20.0,15.748,,,,
69,21/04/23 01:11:30.0,16.002,,,,
70,21/04/23 01:18:26.0,16.256,,,,
71,21/04/23 01:26:44.0,16.51,,,,
72,21/04/23 05:00:27.0,16.764,,,,
73,21/04/30 05:21:08.0,17.018,,,,
74,21/04/30 05:21:43.0,17.272,,,,
75,21/04/30 05:22:15.0,17.526,,,,
76,21/04/30 05:22:50.0,17.78,,,,
77,21/04/30 05:24:00.0,18.034,,,,
78,21/04/30 05:31:08.0,18.288,,,,
79,21/04/30 13:00:15.0,18.542,,,,
80,21/04/30 13:07:44.0,18.796,,,,
81,21/04/30 13:10:38.0,19.05,,,,
82,21/04/30 13:15:07.0,19.304,,,,
83,21/04/30 13:20:34.0,19.558,,,,
84,21/04/30 13:57:45.0,19.812,,,,
85,21/04/30 14:02:51.0,20.066,,,,
86,21/05/01 01:56:18.0,20.32,,,,
87,21/05/01 02:59:28.0,20.574,,,,
88,21/05/01 03:20:46.0,20.828,,,,
89,21/05/01 21:54:51.0,21.082,,,,
90,21/05/03 14:49:55.0,21.336,,,,
91,21/05/03 14:52:59.0,21.59,,,,
92,21/05/03 14:53:43.0,21.844,,,,
93,21/05/08 02:18:07.0,22.098,,,,
94,21/05/08 02:21:45.0,22.352,,,,
95,21/05/08 02:27:58.0,22.606,,,,
96,21/05/08 02:36:38.0,22.86,,,,
97,21/05/09 02:34:37.0,23.114,,,,
98,21/05/09 03:45:29.0,23.368,,,,
99,21/05/09 03:47:15.0,23.622,,,,
100,21/05/09 03:48:34.0,23.876,,,,
101,21/05/09 03:49:28.0,24.13,,,,
102,21/05/09 03:49:55.0,24.384,,,,
103,21/05/09 03:50:35.0,24.638,,,,
104,21/05/09 03:51:32.0,24.892,,,,
105,21/05/09 03:58:42.0,25.146,,,,
106,21/05/12 10:19:20.0,,,Logged,,
107,21/05/12 10:19:49.0,,,,Logged,
108,21/05/12 10:21:54.0,25.4,,,,
109,21/05/12 10:21:58.0,25.654,,,,
110,21/05/12 10:22:56.0,,Logged,,,
111,21/05/12 10:26:08.0,25.908,,,,
112,21/06/01 05:53:33.0,26.162,,,,
113,21/06/01 05:54:03.0,26.416,,,,
114,21/06/01 05:54:35.0,26.67,,,,
115,21/06/01 05:55:38.0,26.924,,,,
116,21/06/01 05:56:10.0,27.178,,,,
117,21/06/01 05:56:21.0,27.432,,,,
118,21/06/01 05:56:35.0,27.686,,,,
119,21/06/01 05:56:49.0,27.94,,,,
120,21/06/01 05:57:01.0,28.194,,,,
121,21/06/01 05:57:13.0,28.448,,,,
122,21/06/01 05:57:31.0,28.702,,,,
123,21/06/01 05:57:47.0,28.956,,,,
124,21/06/01 05:58:07.0,29.21,,,,
125,21/06/01 05:58:48.0,29.464,,,,
126,21/06/01 05:59:25.0,29.718,,,,
127,21/06/01 06:00:27.0,29.972,,,,
128,21/06/01 06:01:18.0,30.226,,,,
129,21/06/01 06:01:30.0,30.48,,,,
130,21/06/01 06:01:43.0,30.734,,,,
131,21/06/01 06:01:59.0,30.988,,,,
132,21/06/01 06:03:15.0,31.242,,,,
133,21/06/01 06:03:51.0,31.496,,,,
134,21/06/01 06:04:47.0,31.75,,,,
135,21/06/01 06:08:48.0,32.004,,,,
136,21/06/01 06:14:21.0,32.258,,,,
137,21/06/01 06:15:06.0,32.512,,,,
138,21/06/01 06:16:14.0,32.766,,,,
139,21/06/01 06:17:27.0,33.02,,,,
140,21/06/01 06:18:42.0,33.274,,,,
141,21/06/01 06:19:27.0,33.528,,,,
