"Plot Title: Sileza Camp"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102559, SEN S/N: 20102559)","Coupler Detached (LGR S/N: 20102559)","Coupler Attached (LGR S/N: 20102559)","Host Connected (LGR S/N: 20102559)","End Of File (LGR S/N: 20102559)"
1,03/31/2021 11:23:15 AM,0.000,,,,
2,03/31/2021 11:23:21 AM,,Logged,,,
3,03/31/2021 11:23:28 AM,0.254,,,,
4,04/03/2021 02:58:15 AM,0.508,,,,
5,04/14/2021 09:39:40 AM,,,Logged,,
6,04/14/2021 09:40:22 AM,,,,Logged,
7,04/14/2021 09:40:29 AM,,,,Logged,
8,04/14/2021 09:42:03 AM,,Logged,,,
9,04/20/2021 04:40:42 AM,0.762,,,,
10,04/20/2021 04:42:30 AM,1.016,,,,
11,04/20/2021 04:43:13 AM,1.270,,,,
12,04/20/2021 04:44:38 AM,1.524,,,,
13,04/20/2021 04:47:32 AM,1.778,,,,
14,04/20/2021 04:48:14 AM,2.032,,,,
15,04/20/2021 04:48:50 AM,2.286,,,,
16,04/20/2021 04:49:21 AM,2.540,,,,
17,04/20/2021 04:49:47 AM,2.794,,,,
18,04/20/2021 04:50:06 AM,3.048,,,,
19,04/20/2021 04:50:21 AM,3.302,,,,
20,04/20/2021 04:50:34 AM,3.556,,,,
21,04/20/2021 04:51:36 AM,3.810,,,,
22,04/20/2021 04:51:56 AM,4.064,,,,
23,04/20/2021 04:52:56 AM,4.318,,,,
24,04/20/2021 04:54:47 AM,4.572,,,,
25,04/20/2021 04:56:43 AM,4.826,,,,
26,04/20/2021 05:23:56 AM,5.080,,,,
27,04/20/2021 05:24:28 AM,5.334,,,,
28,04/20/2021 05:25:03 AM,5.588,,,,
29,04/20/2021 05:25:40 AM,5.842,,,,
30,04/20/2021 05:26:07 AM,6.096,,,,
31,04/20/2021 05:27:36 AM,6.350,,,,
32,04/20/2021 05:30:12 AM,6.604,,,,
33,04/20/2021 05:31:44 AM,6.858,,,,
34,04/20/2021 05:32:27 AM,7.112,,,,
35,04/20/2021 05:34:13 AM,7.366,,,,
36,04/20/2021 05:42:23 AM,7.620,,,,
37,04/20/2021 05:51:09 AM,7.874,,,,
38,04/20/2021 10:33:54 AM,8.128,,,,
39,04/20/2021 10:53:58 AM,8.382,,,,
40,04/22/2021 11:52:45 PM,8.636,,,,
41,04/22/2021 11:53:55 PM,8.890,,,,
42,04/22/2021 11:55:10 PM,9.144,,,,
43,04/23/2021 12:04:31 AM,9.398,,,,
44,04/23/2021 12:06:35 AM,9.652,,,,
45,04/23/2021 12:07:44 AM,9.906,,,,
46,04/23/2021 12:08:30 AM,10.160,,,,
47,04/23/2021 12:10:55 AM,10.414,,,,
48,04/23/2021 12:12:09 AM,10.668,,,,
49,04/23/2021 12:13:13 AM,10.922,,,,
50,04/23/2021 12:13:58 AM,11.176,,,,
51,04/23/2021 12:15:10 AM,11.430,,,,
52,04/23/2021 12:17:18 AM,11.684,,,,
53,04/23/2021 12:19:01 AM,11.938,,,,
54,04/23/2021 12:19:56 AM,12.192,,,,
55,04/23/2021 12:21:57 AM,12.446,,,,
56,04/23/2021 12:25:28 AM,12.700,,,,
57,04/23/2021 12:26:07 AM,12.954,,,,
58,04/23/2021 12:26:47 AM,13.208,,,,
59,04/23/2021 12:27:43 AM,13.462,,,,
60,04/23/2021 12:28:42 AM,13.716,,,,
61,04/23/2021 12:29:39 AM,13.970,,,,
62,04/23/2021 12:30:46 AM,14.224,,,,
63,04/23/2021 12:31:48 AM,14.478,,,,
64,04/23/2021 12:32:41 AM,14.732,,,,
65,04/23/2021 12:33:47 AM,14.986,,,,
66,04/23/2021 12:35:29 AM,15.240,,,,
67,04/23/2021 12:39:25 AM,15.494,,,,
68,04/23/2021 12:56:20 AM,15.748,,,,
69,04/23/2021 01:11:30 AM,16.002,,,,
70,04/23/2021 01:18:26 AM,16.256,,,,
71,04/23/2021 01:26:44 AM,16.510,,,,
72,04/23/2021 05:00:27 AM,16.764,,,,
73,04/30/2021 05:21:08 AM,17.018,,,,
74,04/30/2021 05:21:43 AM,17.272,,,,
75,04/30/2021 05:22:15 AM,17.526,,,,
76,04/30/2021 05:22:50 AM,17.780,,,,
77,04/30/2021 05:24:00 AM,18.034,,,,
78,04/30/2021 05:31:08 AM,18.288,,,,
79,04/30/2021 01:00:15 PM,18.542,,,,
80,04/30/2021 01:07:44 PM,18.796,,,,
81,04/30/2021 01:10:38 PM,19.050,,,,
82,04/30/2021 01:15:07 PM,19.304,,,,
83,04/30/2021 01:20:34 PM,19.558,,,,
84,04/30/2021 01:57:45 PM,19.812,,,,
85,04/30/2021 02:02:51 PM,20.066,,,,
86,05/01/2021 01:56:18 AM,20.320,,,,
87,05/01/2021 02:59:28 AM,20.574,,,,
88,05/01/2021 03:20:46 AM,20.828,,,,
89,05/01/2021 09:54:51 PM,21.082,,,,
90,05/03/2021 02:49:55 PM,21.336,,,,
91,05/03/2021 02:52:59 PM,21.590,,,,
92,05/03/2021 02:53:43 PM,21.844,,,,
93,05/08/2021 02:18:07 AM,22.098,,,,
94,05/08/2021 02:21:45 AM,22.352,,,,
95,05/08/2021 02:27:58 AM,22.606,,,,
96,05/08/2021 02:36:38 AM,22.860,,,,
97,05/09/2021 02:34:37 AM,23.114,,,,
98,05/09/2021 03:45:29 AM,23.368,,,,
99,05/09/2021 03:47:15 AM,23.622,,,,
100,05/09/2021 03:48:34 AM,23.876,,,,
101,05/09/2021 03:49:28 AM,24.130,,,,
102,05/09/2021 03:49:55 AM,24.384,,,,
103,05/09/2021 03:50:35 AM,24.638,,,,
104,05/09/2021 03:51:32 AM,24.892,,,,
105,05/09/2021 03:58:42 AM,25.146,,,,
106,05/12/2021 10:19:20 AM,,,Logged,,
107,05/12/2021 10:19:49 AM,,,,Logged,
108,05/12/2021 10:21:54 AM,25.400,,,,
109,05/12/2021 10:21:58 AM,25.654,,,,
110,05/12/2021 10:22:56 AM,,Logged,,,
111,05/12/2021 10:26:08 AM,25.908,,,,
112,06/01/2021 05:53:33 AM,26.162,,,,
113,06/01/2021 05:54:03 AM,26.416,,,,
114,06/01/2021 05:54:35 AM,26.670,,,,
115,06/01/2021 05:55:38 AM,26.924,,,,
116,06/01/2021 05:56:10 AM,27.178,,,,
117,06/01/2021 05:56:21 AM,27.432,,,,
118,06/01/2021 05:56:35 AM,27.686,,,,
119,06/01/2021 05:56:49 AM,27.940,,,,
120,06/01/2021 05:57:01 AM,28.194,,,,
121,06/01/2021 05:57:13 AM,28.448,,,,
122,06/01/2021 05:57:31 AM,28.702,,,,
123,06/01/2021 05:57:47 AM,28.956,,,,
124,06/01/2021 05:58:07 AM,29.210,,,,
125,06/01/2021 05:58:48 AM,29.464,,,,
126,06/01/2021 05:59:25 AM,29.718,,,,
127,06/01/2021 06:00:27 AM,29.972,,,,
128,06/01/2021 06:01:18 AM,30.226,,,,
129,06/01/2021 06:01:30 AM,30.480,,,,
130,06/01/2021 06:01:43 AM,30.734,,,,
131,06/01/2021 06:01:59 AM,30.988,,,,
132,06/01/2021 06:03:15 AM,31.242,,,,
133,06/01/2021 06:03:51 AM,31.496,,,,
134,06/01/2021 06:04:47 AM,31.750,,,,
135,06/01/2021 06:08:48 AM,32.004,,,,
136,06/01/2021 06:14:21 AM,32.258,,,,
137,06/01/2021 06:15:06 AM,32.512,,,,
138,06/01/2021 06:16:14 AM,32.766,,,,
139,06/01/2021 06:17:27 AM,33.020,,,,
140,06/01/2021 06:18:42 AM,33.274,,,,
141,06/01/2021 06:19:27 AM,33.528,,,,
142,06/01/2021 06:20:11 AM,33.782,,,,
143,06/01/2021 06:20:43 AM,34.036,,,,
144,06/01/2021 06:21:12 AM,34.290,,,,
145,06/01/2021 06:21:22 AM,34.544,,,,
146,06/01/2021 06:21:34 AM,34.798,,,,
147,06/01/2021 06:21:43 AM,35.052,,,,
148,06/01/2021 06:21:53 AM,35.306,,,,
149,06/01/2021 06:22:01 AM,35.560,,,,
150,06/01/2021 06:22:11 AM,35.814,,,,
151,06/01/2021 06:22:23 AM,36.068,,,,
152,06/01/2021 06:22:42 AM,36.322,,,,
153,06/01/2021 06:23:08 AM,36.576,,,,
154,06/01/2021 06:24:15 AM,36.830,,,,
155,06/01/2021 06:25:36 AM,37.084,,,,
156,06/01/2021 06:27:49 AM,37.338,,,,
157,06/01/2021 06:28:20 AM,37.592,,,,
158,06/01/2021 06:28:39 AM,37.846,,,,
159,06/01/2021 06:28:57 AM,38.100,,,,
160,06/01/2021 06:29:21 AM,38.354,,,,
161,06/01/2021 06:29:35 AM,38.608,,,,
162,06/01/2021 06:30:03 AM,38.862,,,,
163,06/01/2021 06:31:03 AM,39.116,,,,
164,06/01/2021 06:34:56 AM,39.370,,,,
165,06/01/2021 06:37:16 AM,39.624,,,,
166,06/01/2021 06:39:38 AM,39.878,,,,
167,06/01/2021 06:41:05 AM,40.132,,,,
168,06/01/2021 06:46:56 AM,40.386,,,,
169,06/01/2021 06:54:23 AM,40.640,,,,
170,06/01/2021 12:11:22 PM,40.894,,,,
171,06/01/2021 06:31:16 PM,41.148,,,,
172,06/01/2021 06:34:56 PM,41.402,,,,
173,06/01/2021 06:37:10 PM,41.656,,,,
174,06/01/2021 06:39:45 PM,41.910,,,,
175,06/01/2021 06:41:25 PM,42.164,,,,
176,06/01/2021 06:44:26 PM,42.418,,,,
177,06/01/2021 06:48:41 PM,42.672,,,,
178,06/01/2021 06:54:06 PM,42.926,,,,
179,06/01/2021 07:00:07 PM,43.180,,,,
180,06/01/2021 07:05:58 PM,43.434,,,,
181,06/01/2021 07:11:39 PM,43.688,,,,
182,06/01/2021 07:16:25 PM,43.942,,,,
183,06/01/2021 07:19:35 PM,44.196,,,,
184,06/01/2021 07:23:03 PM,44.450,,,,
185,06/01/2021 07:25:35 PM,44.704,,,,
