"Plot Title: Mseleni TC "
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112167, SEN S/N: 20112167)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","Host Connected (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
1,12/12/22 10:45:30 AM,0.000,,,,
2,12/12/22 10:45:39 AM,,Logged,,,
3,12/13/22 01:59:16 AM,0.254,,,,
4,12/13/22 02:00:30 AM,0.508,,,,
5,12/13/22 02:01:00 AM,0.762,,,,
6,12/13/22 02:02:46 AM,1.016,,,,
7,12/13/22 02:06:24 AM,1.270,,,,
8,12/13/22 12:44:06 PM,1.524,,,,
9,12/13/22 12:45:00 PM,1.778,,,,
10,12/13/22 12:46:15 PM,2.032,,,,
11,12/13/22 12:47:22 PM,2.286,,,,
12,12/13/22 12:48:12 PM,2.540,,,,
13,12/13/22 12:48:41 PM,2.794,,,,
14,12/13/22 12:49:13 PM,3.048,,,,
15,12/13/22 12:49:42 PM,3.302,,,,
16,12/13/22 12:50:21 PM,3.556,,,,
17,12/13/22 12:50:57 PM,3.810,,,,
18,12/13/22 12:51:49 PM,4.064,,,,
19,12/13/22 12:52:41 PM,4.318,,,,
20,12/13/22 12:53:43 PM,4.572,,,,
21,12/13/22 12:54:44 PM,4.826,,,,
22,12/13/22 12:55:55 PM,5.080,,,,
23,12/13/22 12:58:00 PM,5.334,,,,
24,12/13/22 01:00:44 PM,5.588,,,,
25,12/13/22 01:07:44 PM,5.842,,,,
26,12/13/22 08:03:57 PM,6.096,,,,
27,12/13/22 11:36:11 PM,6.350,,,,
28,12/13/22 11:52:47 PM,6.604,,,,
29,12/14/22 01:11:40 AM,6.858,,,,
30,12/14/22 08:30:24 AM,7.112,,,,
31,12/14/22 08:32:37 AM,7.366,,,,
32,12/14/22 08:35:00 AM,7.620,,,,
33,12/14/22 08:40:21 AM,7.874,,,,
34,12/16/22 01:31:50 PM,8.128,,,,
35,12/16/22 01:33:06 PM,8.382,,,,
36,12/16/22 01:34:27 PM,8.636,,,,
37,12/16/22 01:35:22 PM,8.890,,,,
38,12/16/22 01:36:35 PM,9.144,,,,
