Plot Title: Mseleni TC ,,,,,,
#,"Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112167, SEN S/N: 20112167)",Coupler Detached (LGR S/N: 20112167),Coupler Attached (LGR S/N: 20112167),Host Connected (LGR S/N: 20112167),End Of File (LGR S/N: 20112167)
1,12/12/22 10:45:30AM,0,,,,
2,12/12/22 10:45:39AM,,Logged,,,
3,12/13/22 01:59:16AM,0.254,,,,
4,12/13/22 02:00:30AM,0.508,,,,
5,12/13/22 02:01:00AM,0.762,,,,
6,12/13/22 02:02:46AM,1.016,,,,
7,12/13/22 02:06:24AM,1.27,,,,
8,12/13/22 12:44:06PM,1.524,,,,
9,12/13/22 12:45:00PM,1.778,,,,
10,12/13/22 12:46:15PM,2.032,,,,
11,12/13/22 12:47:22PM,2.286,,,,
12,12/13/22 12:48:12PM,2.54,,,,
13,12/13/22 12:48:41PM,2.794,,,,
14,12/13/22 12:49:13PM,3.048,,,,
15,12/13/22 12:49:42PM,3.302,,,,
16,12/13/22 12:50:21PM,3.556,,,,
17,12/13/22 12:50:57PM,3.81,,,,
18,12/13/22 12:51:49PM,4.064,,,,
19,12/13/22 12:52:41PM,4.318,,,,
20,12/13/22 12:53:43PM,4.572,,,,
21,12/13/22 12:54:44PM,4.826,,,,
22,12/13/22 12:55:55PM,5.08,,,,
23,12/13/22 12:58:00PM,5.334,,,,
24,12/13/22 01:00:44PM,5.588,,,,
25,12/13/22 01:07:44PM,5.842,,,,
26,12/13/22 08:03:57PM,6.096,,,,
27,12/13/22 11:36:11PM,6.35,,,,
28,12/13/22 11:52:47PM,6.604,,,,
29,12/14/22 01:11:40AM,6.858,,,,
30,12/14/22 08:30:24AM,7.112,,,,
31,12/14/22 08:32:37AM,7.36599999999999,,,,
32,12/14/22 08:35:00AM,7.61999999999999,,,,
33,12/14/22 08:40:21AM,7.87399999999999,,,,
34,12/16/22 01:31:50PM,8.12799999999999,,,,
35,12/16/22 01:33:06PM,8.38199999999999,,,,
36,12/16/22 01:34:27PM,8.63599999999999,,,,
37,12/16/22 01:35:22PM,8.88999999999999,,,,
38,12/16/22 01:36:35PM,9.14399999999999,,,,
39,12/16/22 01:37:32PM,9.39799999999999,,,,
40,12/16/22 01:38:12PM,9.65199999999999,,,,
41,12/16/22 01:38:32PM,9.90599999999999,,,,
42,12/16/22 01:39:01PM,10.16,,,,
43,12/16/22 01:39:45PM,10.414,,,,
44,12/17/22 03:38:41AM,10.668,,,,
45,12/17/22 03:45:25AM,10.922,,,,
46,12/17/22 03:48:02AM,11.176,,,,
47,12/17/22 03:49:54AM,11.43,,,,
48,12/17/22 03:51:13AM,11.684,,,,
49,12/17/22 03:52:15AM,11.938,,,,
50,12/17/22 03:53:19AM,12.192,,,,
51,12/17/22 03:54:19AM,12.446,,,,
52,12/17/22 03:55:10AM,12.7,,,,
53,12/17/22 03:56:11AM,12.954,,,,
54,12/17/22 03:57:48AM,13.208,,,,
55,12/17/22 03:59:03AM,13.462,,,,
56,12/17/22 04:00:19AM,13.716,,,,
57,12/17/22 04:01:28AM,13.97,,,,
58,12/17/22 04:02:37AM,14.224,,,,
59,12/17/22 04:03:13AM,14.478,,,,
60,12/17/22 04:03:51AM,14.732,,,,
61,12/17/22 04:04:17AM,14.986,,,,
62,12/17/22 04:04:45AM,15.24,,,,
63,12/17/22 04:05:02AM,15.494,,,,
64,12/17/22 04:05:25AM,15.748,,,,
65,12/17/22 04:05:52AM,16.002,,,,
66,12/17/22 04:06:22AM,16.256,,,,
67,12/17/22 04:06:46AM,16.51,,,,
68,12/17/22 04:07:12AM,16.764,,,,
69,12/17/22 04:07:43AM,17.018,,,,
70,12/17/22 04:08:13AM,17.272,,,,
71,12/17/22 04:08:40AM,17.526,,,,
72,12/17/22 04:09:13AM,17.78,,,,
73,12/17/22 04:09:36AM,18.034,,,,
74,12/17/22 04:09:49AM,18.288,,,,
75,12/17/22 04:09:59AM,18.542,,,,
76,12/17/22 04:10:15AM,18.796,,,,
77,12/17/22 04:10:41AM,19.05,,,,
78,12/17/22 04:11:36AM,19.304,,,,
79,12/17/22 04:12:25AM,19.558,,,,
80,12/17/22 04:13:41AM,19.812,,,,
81,12/17/22 04:14:49AM,20.066,,,,
82,12/17/22 04:15:36AM,20.32,,,,
83,12/17/22 04:16:32AM,20.574,,,,
84,12/17/22 04:18:07AM,20.828,,,,
85,12/17/22 04:21:05AM,21.082,,,,
86,12/17/22 04:26:37AM,21.336,,,,
87,12/17/22 04:35:37AM,21.59,,,,
88,12/17/22 04:44:44AM,21.844,,,,
89,12/17/22 04:51:28AM,22.098,,,,
90,12/17/22 05:05:04AM,22.352,,,,
91,12/17/22 05:10:00AM,22.606,,,,
92,12/17/22 05:23:06AM,22.86,,,,
93,12/17/22 05:27:22AM,23.114,,,,
94,12/17/22 05:31:51AM,23.368,,,,
95,12/17/22 05:37:50AM,23.622,,,,
96,12/17/22 05:44:36AM,23.876,,,,
97,12/17/22 02:36:02PM,24.13,,,,
98,12/17/22 02:50:06PM,24.384,,,,
99,12/17/22 02:53:48PM,24.638,,,,
100,12/17/22 02:55:16PM,24.892,,,,
101,12/17/22 02:56:41PM,25.146,,,,
102,12/17/22 02:58:42PM,25.4,,,,
103,12/17/22 02:59:52PM,25.654,,,,
104,12/17/22 03:01:10PM,25.908,,,,
105,12/17/22 03:02:58PM,26.162,,,,
106,12/17/22 03:04:46PM,26.416,,,,
107,12/17/22 03:06:12PM,26.67,,,,
108,12/17/22 03:08:16PM,26.924,,,,
109,12/17/22 03:11:08PM,27.178,,,,
110,12/17/22 03:13:58PM,27.432,,,,
111,12/17/22 03:17:04PM,27.686,,,,
112,12/17/22 03:18:17PM,27.94,,,,
113,12/17/22 03:19:01PM,28.194,,,,
114,12/17/22 03:19:41PM,28.448,,,,
115,12/17/22 03:20:10PM,28.702,,,,
116,12/17/22 03:20:30PM,28.956,,,,
117,12/17/22 03:20:45PM,29.2100000000001,,,,
118,12/17/22 03:20:57PM,29.464,,,,
119,12/17/22 03:21:10PM,29.7180000000001,,,,
120,12/17/22 03:21:23PM,29.9720000000001,,,,
121,12/17/22 03:21:35PM,30.2260000000001,,,,
122,12/17/22 03:21:49PM,30.4800000000001,,,,
123,12/17/22 03:22:03PM,30.7340000000001,,,,
124,12/17/22 03:22:21PM,30.9880000000001,,,,
125,12/17/22 03:22:36PM,31.2420000000001,,,,
126,12/17/22 03:22:54PM,31.4960000000001,,,,
127,12/17/22 03:23:07PM,31.7500000000001,,,,
128,12/17/22 03:23:23PM,32.0040000000001,,,,
129,12/17/22 03:23:37PM,32.2580000000001,,,,
130,12/17/22 03:23:53PM,32.5120000000001,,,,
131,12/17/22 03:24:06PM,32.7660000000001,,,,
132,12/17/22 03:24:23PM,33.0200000000001,,,,
133,12/17/22 03:24:37PM,33.2740000000001,,,,
134,12/17/22 03:24:56PM,33.528,,,,
135,12/17/22 03:25:13PM,33.782,,,,
136,12/17/22 03:25:37PM,34.036,,,,
137,12/17/22 03:25:51PM,34.29,,,,
138,12/17/22 03:26:06PM,34.544,,,,
139,12/17/22 03:26:21PM,34.798,,,,
140,12/17/22 03:26:37PM,35.052,,,,
141,12/17/22 03:26:49PM,35.306,,,,
142,12/17/22 03:27:03PM,35.56,,,,
143,12/17/22 03:27:15PM,35.814,,,,
144,12/17/22 03:27:29PM,36.068,,,,
145,12/17/22 03:27:41PM,36.322,,,,
146,12/17/22 03:27:55PM,36.576,,,,
147,12/17/22 03:28:11PM,36.83,,,,
148,12/17/22 03:28:27PM,37.084,,,,
149,12/17/22 03:28:42PM,37.338,,,,
150,12/17/22 03:28:59PM,37.592,,,,
151,12/17/22 03:29:12PM,37.846,,,,
152,12/17/22 03:29:25PM,38.1,,,,
153,12/17/22 03:29:38PM,38.354,,,,
154,12/17/22 03:29:51PM,38.608,,,,
155,12/17/22 03:30:05PM,38.862,,,,
156,12/17/22 03:30:20PM,39.116,,,,
157,12/17/22 03:30:34PM,39.37,,,,
158,12/17/22 03:30:49PM,39.624,,,,
159,12/17/22 03:31:01PM,39.878,,,,
160,12/17/22 03:31:16PM,40.132,,,,
161,12/17/22 03:31:30PM,40.386,,,,
162,12/17/22 03:31:47PM,40.64,,,,
163,12/17/22 03:32:06PM,40.894,,,,
164,12/17/22 03:32:30PM,41.148,,,,
165,12/17/22 03:33:04PM,41.402,,,,
166,12/17/22 03:33:52PM,41.656,,,,
167,12/17/22 03:34:20PM,41.91,,,,
168,12/17/22 03:35:05PM,42.164,,,,
169,12/17/22 03:35:57PM,42.418,,,,
170,12/17/22 03:45:59PM,42.672,,,,
171,12/17/22 03:56:31PM,42.926,,,,
172,12/17/22 04:23:31PM,43.18,,,,
173,12/17/22 04:34:26PM,43.434,,,,
174,12/19/22 10:29:38PM,43.688,,,,
175,12/20/22 01:21:10AM,43.942,,,,
176,12/20/22 01:56:46AM,44.196,,,,
177,12/20/22 02:05:18AM,44.45,,,,
178,12/20/22 02:11:01AM,44.704,,,,
179,12/20/22 02:18:16AM,44.958,,,,
180,12/20/22 02:25:02AM,45.212,,,,
181,12/20/22 02:33:56AM,45.4659999999999,,,,
182,12/20/22 02:43:15AM,45.7199999999999,,,,
183,12/20/22 02:55:05AM,45.9739999999999,,,,
184,12/20/22 03:00:33AM,46.2279999999999,,,,
185,12/20/22 03:10:41AM,46.4819999999999,,,,
186,12/20/22 03:21:20AM,46.7359999999999,,,,
187,12/20/22 03:38:23AM,46.9899999999999,,,,
188,12/20/22 03:51:20AM,47.2439999999999,,,,
189,12/20/22 04:00:23AM,47.4979999999999,,,,
190,12/21/22 03:28:50AM,47.7519999999999,,,,
191,12/21/22 03:41:22AM,48.0059999999999,,,,
192,12/25/22 08:48:52PM,48.2599999999999,,,,
193,12/25/22 09:02:45PM,48.5139999999999,,,,
194,12/25/22 09:15:49PM,48.7679999999999,,,,
195,12/25/22 09:25:39PM,49.0219999999999,,,,
196,12/25/22 09:37:14PM,49.2759999999999,,,,
197,12/25/22 09:41:19PM,49.5299999999999,,,,
198,12/25/22 09:48:20PM,49.7839999999999,,,,
199,12/25/22 10:33:45PM,50.0379999999999,,,,
200,12/25/22 11:42:04PM,50.2919999999999,,,,
201,12/25/22 11:51:14PM,50.5459999999999,,,,
202,12/26/22 12:01:22AM,50.7999999999999,,,,
203,12/26/22 12:08:35AM,51.0539999999999,,,,
204,12/26/22 12:12:55AM,51.3079999999999,,,,
205,12/26/22 12:15:39AM,51.5619999999999,,,,
206,12/26/22 12:18:42AM,51.8159999999999,,,,
207,12/26/22 12:20:40AM,52.0699999999999,,,,
208,12/26/22 12:23:40AM,52.3239999999999,,,,
209,12/26/22 12:26:59AM,52.5779999999999,,,,
210,12/26/22 12:30:48AM,52.8319999999999,,,,
211,12/26/22 12:33:54AM,53.0859999999999,,,,
212,12/26/22 12:37:53AM,53.3399999999999,,,,
213,12/26/22 12:42:27AM,53.5939999999999,,,,
214,12/26/22 12:44:52AM,53.8479999999999,,,,
215,12/26/22 12:46:15AM,54.1019999999999,,,,
216,12/26/22 12:47:29AM,54.3559999999999,,,,
217,12/26/22 12:48:47AM,54.6099999999999,,,,
218,12/26/22 12:50:39AM,54.8639999999999,,,,
219,12/26/22 12:53:21AM,55.1179999999999,,,,
220,12/26/22 12:57:13AM,55.3719999999999,,,,
221,12/26/22 01:01:52AM,55.6259999999999,,,,
222,12/26/22 01:05:48AM,55.8799999999999,,,,
223,12/26/22 01:08:16AM,56.1339999999999,,,,
224,12/26/22 01:10:47AM,56.3879999999999,,,,
225,12/26/22 01:13:32AM,56.6419999999999,,,,
226,12/26/22 01:20:18AM,56.8959999999998,,,,
227,12/26/22 01:47:26AM,57.1499999999998,,,,
228,12/26/22 02:26:05AM,57.4039999999998,,,,
229,12/26/22 02:51:03AM,57.6579999999998,,,,
230,12/26/22 03:26:19AM,57.9119999999998,,,,
231,12/26/22 03:30:26AM,58.1659999999998,,,,
232,12/26/22 03:36:11AM,58.4199999999998,,,,
233,12/26/22 03:39:49AM,58.6739999999998,,,,
234,12/26/22 03:45:00AM,58.9279999999998,,,,
235,12/26/22 03:49:07AM,59.1819999999998,,,,
236,12/26/22 03:54:48AM,59.4359999999998,,,,
237,12/26/22 04:11:02AM,59.6899999999998,,,,
238,12/26/22 04:43:24AM,59.9439999999998,,,,
239,12/26/22 04:47:32AM,60.1979999999998,,,,
240,12/26/22 04:54:37AM,60.4519999999998,,,,
241,12/26/22 04:59:01AM,60.7059999999998,,,,
242,12/26/22 05:02:40AM,60.9599999999998,,,,
243,12/26/22 05:06:43AM,61.2139999999998,,,,
244,12/26/22 05:09:21AM,61.4679999999998,,,,
245,12/26/22 05:12:16AM,61.7219999999998,,,,
246,12/26/22 05:17:17AM,61.9759999999998,,,,
247,12/26/22 05:25:33AM,62.2299999999998,,,,
248,12/26/22 05:38:08AM,62.4839999999998,,,,
249,12/26/22 05:43:12AM,62.7379999999998,,,,
250,12/26/22 05:49:51AM,62.9919999999998,,,,
251,12/26/22 05:55:23AM,63.2459999999998,,,,
252,12/26/22 06:00:08AM,63.4999999999998,,,,
253,12/26/22 06:04:13AM,63.7539999999998,,,,
254,12/26/22 06:17:37AM,64.0079999999998,,,,
255,12/26/22 06:27:17AM,64.2619999999998,,,,
256,12/26/22 06:41:19AM,64.5159999999998,,,,
257,12/26/22 06:46:19AM,64.7699999999998,,,,
258,12/26/22 06:59:55AM,65.0239999999998,,,,
259,12/26/22 07:05:25AM,65.2779999999998,,,,
260,12/26/22 07:10:11AM,65.5319999999998,,,,
261,12/26/22 07:13:38AM,65.7859999999998,,,,
262,12/26/22 07:18:46AM,66.0399999999998,,,,
263,12/26/22 07:23:44AM,66.2939999999998,,,,
264,12/26/22 07:29:56AM,66.5479999999998,,,,
265,12/26/22 07:42:36AM,66.8019999999998,,,,
266,12/26/22 07:49:49AM,67.0559999999998,,,,
267,12/26/22 07:54:14AM,67.3099999999999,,,,
268,12/26/22 07:57:42AM,67.5639999999999,,,,
269,12/26/22 07:59:23AM,67.8179999999999,,,,
270,12/26/22 08:00:57AM,68.0719999999999,,,,
271,12/26/22 08:02:53AM,68.3259999999999,,,,
272,12/26/22 08:05:36AM,68.5799999999999,,,,
273,12/26/22 08:07:26AM,68.8339999999999,,,,
274,12/26/22 08:12:29AM,69.0879999999999,,,,
275,12/26/22 08:17:30AM,69.3419999999999,,,,
276,12/26/22 08:27:07AM,69.5959999999999,,,,
277,12/26/22 05:39:17PM,69.8499999999999,,,,
278,12/26/22 05:43:56PM,70.1039999999999,,,,
279,12/26/22 05:48:52PM,70.3579999999999,,,,
280,12/26/22 05:59:03PM,70.6119999999999,,,,
281,12/26/22 06:00:59PM,70.8659999999999,,,,
282,12/26/22 06:03:25PM,71.1199999999999,,,,
283,12/26/22 06:07:28PM,71.3739999999999,,,,
284,12/26/22 06:24:09PM,71.6279999999999,,,,
285,12/27/22 12:46:53AM,71.8819999999999,,,,
286,12/27/22 12:55:09AM,72.1359999999999,,,,
287,12/27/22 01:27:33AM,72.3899999999999,,,,
288,12/27/22 01:33:39AM,72.644,,,,
289,12/27/22 01:41:03AM,72.898,,,,
290,12/27/22 01:54:28AM,73.152,,,,
291,12/27/22 02:31:30AM,73.406,,,,
292,12/27/22 02:34:35AM,73.66,,,,
293,12/27/22 02:40:36AM,73.914,,,,
294,12/27/22 03:53:39AM,74.168,,,,
295,12/29/22 07:40:11PM,74.422,,,,
296,12/29/22 07:40:55PM,74.676,,,,
297,12/29/22 07:42:29PM,74.93,,,,
298,12/29/22 07:48:33PM,75.184,,,,
299,12/29/22 09:19:33PM,75.438,,,,
300,12/29/22 09:29:19PM,75.692,,,,
301,12/29/22 09:39:14PM,75.946,,,,
302,12/29/22 10:05:08PM,76.2,,,,
303,12/30/22 09:37:00AM,76.454,,,,
304,12/30/22 11:08:08AM,76.708,,,,
305,12/30/22 12:27:46PM,76.962,,,,
306,12/30/22 12:48:15PM,77.216,,,,
307,12/30/22 01:00:47PM,77.47,,,,
308,12/30/22 01:08:39PM,77.724,,,,
309,12/30/22 01:13:49PM,77.9780000000001,,,,
310,12/30/22 01:20:24PM,78.2320000000001,,,,
311,12/30/22 01:32:23PM,78.4860000000001,,,,
312,12/30/22 02:05:04PM,78.7400000000001,,,,
313,12/30/22 02:18:04PM,78.9940000000001,,,,
314,12/30/22 03:01:44PM,79.2480000000001,,,,
315,12/30/22 03:11:36PM,79.5020000000001,,,,
316,12/30/22 03:16:01PM,79.7560000000001,,,,
317,12/30/22 03:23:02PM,80.0100000000001,,,,
318,12/30/22 07:01:58PM,80.2640000000001,,,,
319,12/30/22 07:12:47PM,80.5180000000001,,,,
320,12/30/22 08:33:00PM,80.7720000000001,,,,
321,01/05/23 06:10:24AM,81.0260000000001,,,,
322,01/05/23 06:23:06AM,81.2800000000001,,,,
323,01/05/23 06:33:53AM,81.5340000000001,,,,
324,01/05/23 06:43:45AM,81.7880000000001,,,,
325,01/05/23 06:53:34AM,82.0420000000001,,,,
326,01/05/23 07:19:56AM,82.2960000000001,,,,
327,01/05/23 08:39:49PM,82.5500000000001,,,,
328,01/05/23 09:22:53PM,82.8040000000001,,,,
329,01/05/23 09:49:15PM,83.0580000000002,,,,
330,01/05/23 09:59:47PM,83.3120000000002,,,,
331,01/05/23 10:08:59PM,83.5660000000002,,,,
332,01/05/23 10:17:18PM,83.8200000000002,,,,
333,01/05/23 10:21:50PM,84.0740000000002,,,,
334,01/05/23 10:28:57PM,84.3280000000002,,,,
335,01/05/23 10:36:00PM,84.5820000000002,,,,
336,01/05/23 10:44:52PM,84.8360000000002,,,,
337,01/05/23 10:51:09PM,85.0900000000002,,,,
338,01/05/23 10:52:40PM,85.3440000000002,,,,
339,01/05/23 10:53:37PM,85.5980000000002,,,,
340,01/05/23 10:54:55PM,85.8520000000002,,,,
341,01/05/23 10:56:07PM,86.1060000000002,,,,
342,01/05/23 10:57:48PM,86.3600000000002,,,,
343,01/05/23 10:59:40PM,86.6140000000002,,,,
344,01/05/23 11:02:01PM,86.8680000000002,,,,
345,01/05/23 11:03:35PM,87.1220000000002,,,,
346,01/05/23 11:05:45PM,87.3760000000002,,,,
347,01/05/23 11:07:40PM,87.6300000000002,,,,
348,01/05/23 11:10:00PM,87.8840000000002,,,,
349,01/05/23 11:12:00PM,88.1380000000003,,,,
350,01/05/23 11:13:23PM,88.3920000000003,,,,
351,01/05/23 11:14:08PM,88.6460000000003,,,,
352,01/05/23 11:14:45PM,88.9000000000003,,,,
353,01/05/23 11:15:16PM,89.1540000000003,,,,
354,01/05/23 11:15:50PM,89.4080000000003,,,,
355,01/05/23 11:16:22PM,89.6620000000003,,,,
356,01/05/23 11:16:51PM,89.9160000000003,,,,
357,01/05/23 11:17:13PM,90.1700000000003,,,,
358,01/05/23 11:17:38PM,90.4240000000003,,,,
359,01/05/23 11:17:59PM,90.6780000000003,,,,
360,01/05/23 11:18:23PM,90.9320000000003,,,,
361,01/05/23 11:18:57PM,91.1860000000003,,,,
362,01/05/23 11:19:44PM,91.4400000000003,,,,
363,01/05/23 11:20:10PM,91.6940000000003,,,,
364,01/05/23 11:20:33PM,91.9480000000003,,,,
365,01/05/23 11:20:52PM,92.2020000000003,,,,
366,01/05/23 11:21:12PM,92.4560000000003,,,,
367,01/05/23 11:21:35PM,92.7100000000003,,,,
368,01/05/23 11:22:07PM,92.9640000000003,,,,
369,01/05/23 11:22:37PM,93.2180000000004,,,,
