Plot Title: Sileza Camp,,,,,,
#,"Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102559, SEN S/N: 20102559)",Coupler Detached (LGR S/N: 20102559),Coupler Attached (LGR S/N: 20102559),Host Connected (LGR S/N: 20102559),End Of File (LGR S/N: 20102559)
1,09/13/23 08:43:24AM,0,,,,
2,09/13/23 08:43:32AM,,Logged,,,
3,09/17/23 03:18:35AM,0.254,,,,
4,09/19/23 08:58:18PM,0.508,,,,
5,09/19/23 09:03:02PM,0.762,,,,
6,09/19/23 09:08:26PM,1.016,,,,
7,09/19/23 09:13:38PM,1.27,,,,
8,09/19/23 09:19:57PM,1.524,,,,
9,09/19/23 09:26:02PM,1.778,,,,
10,09/19/23 09:32:39PM,2.032,,,,
11,09/19/23 09:41:24PM,2.286,,,,
12,09/19/23 11:44:30PM,2.54,,,,
13,09/27/23 05:11:17AM,2.794,,,,
14,09/27/23 05:16:12AM,3.048,,,,
15,09/27/23 05:19:52AM,3.302,,,,
16,09/27/23 05:25:02AM,3.556,,,,
17,09/27/23 05:28:44AM,3.81,,,,
18,09/27/23 05:33:20AM,4.064,,,,
19,09/27/23 05:39:24AM,4.318,,,,
20,09/27/23 05:43:43AM,4.572,,,,
21,09/27/23 05:47:45AM,4.826,,,,
22,09/27/23 05:52:06AM,5.08,,,,
23,09/27/23 05:56:40AM,5.334,,,,
24,09/27/23 06:00:39AM,5.588,,,,
25,09/27/23 06:04:00AM,5.842,,,,
26,09/27/23 06:07:29AM,6.096,,,,
27,09/27/23 06:12:24AM,6.35,,,,
28,09/27/23 06:19:43AM,6.604,,,,
29,09/27/23 06:23:49AM,6.858,,,,
30,09/27/23 06:26:20AM,7.112,,,,
31,09/27/23 06:29:48AM,7.36599999999999,,,,
32,09/27/23 06:33:18AM,7.61999999999999,,,,
33,09/27/23 06:36:47AM,7.87399999999999,,,,
34,09/27/23 06:39:35AM,8.12799999999999,,,,
35,09/27/23 06:41:49AM,8.38199999999999,,,,
36,09/27/23 06:44:53AM,8.63599999999999,,,,
37,09/27/23 06:48:26AM,8.88999999999999,,,,
38,09/27/23 06:51:58AM,9.14399999999999,,,,
39,09/27/23 07:04:43AM,9.39799999999999,,,,
40,09/27/23 07:10:37AM,9.65199999999999,,,,
41,09/27/23 07:13:54AM,9.90599999999999,,,,
42,09/27/23 07:16:14AM,10.16,,,,
43,09/27/23 07:18:36AM,10.414,,,,
44,09/27/23 07:19:46AM,10.668,,,,
45,09/27/23 07:20:33AM,10.922,,,,
46,09/27/23 07:22:09AM,11.176,,,,
47,09/27/23 07:24:33AM,11.43,,,,
48,09/27/23 07:26:03AM,11.684,,,,
49,09/27/23 07:27:37AM,11.938,,,,
50,09/27/23 07:29:41AM,12.192,,,,
51,09/27/23 07:31:26AM,12.446,,,,
52,09/27/23 07:33:14AM,12.7,,,,
53,09/27/23 07:35:53AM,12.954,,,,
54,09/27/23 07:43:09AM,13.208,,,,
55,09/27/23 10:47:14AM,13.462,,,,
56,09/27/23 11:01:50AM,13.716,,,,
57,09/27/23 11:12:20AM,13.97,,,,
58,09/27/23 11:18:07AM,14.224,,,,
59,09/27/23 11:23:48AM,14.478,,,,
60,09/27/23 11:26:58AM,14.732,,,,
61,09/27/23 11:32:33AM,14.986,,,,
62,09/27/23 11:38:59AM,15.24,,,,
63,09/27/23 11:41:10AM,15.494,,,,
64,09/27/23 11:43:07AM,15.748,,,,
65,09/27/23 11:44:16AM,16.002,,,,
66,09/27/23 11:45:47AM,16.256,,,,
67,09/27/23 11:47:25AM,16.51,,,,
68,09/27/23 11:49:37AM,16.764,,,,
69,09/27/23 11:51:33AM,17.018,,,,
70,09/27/23 11:53:05AM,17.272,,,,
71,09/27/23 11:55:12AM,17.526,,,,
72,09/27/23 11:57:39AM,17.78,,,,
73,09/27/23 12:00:39PM,18.034,,,,
74,09/27/23 12:05:36PM,18.288,,,,
75,09/27/23 12:11:58PM,18.542,,,,
76,09/27/23 12:16:40PM,18.796,,,,
77,09/27/23 12:23:13PM,19.05,,,,
78,09/27/23 12:38:23PM,19.304,,,,
79,09/27/23 05:07:08PM,19.558,,,,
80,09/27/23 05:15:18PM,19.812,,,,
81,09/27/23 05:20:38PM,20.066,,,,
82,09/27/23 05:28:22PM,20.32,,,,
83,09/27/23 07:43:40PM,20.574,,,,
84,09/27/23 08:01:52PM,20.828,,,,
85,09/27/23 08:04:17PM,21.082,,,,
86,09/27/23 08:06:31PM,21.336,,,,
87,09/27/23 08:08:28PM,21.59,,,,
88,09/27/23 08:10:18PM,21.844,,,,
89,09/27/23 08:12:30PM,22.098,,,,
90,09/27/23 08:15:43PM,22.352,,,,
91,09/27/23 08:19:59PM,22.606,,,,
92,09/27/23 08:22:49PM,22.86,,,,
93,09/27/23 08:27:06PM,23.114,,,,
94,09/27/23 08:40:47PM,23.368,,,,
95,09/27/23 08:57:48PM,23.622,,,,
96,09/27/23 10:09:48PM,23.876,,,,
97,09/27/23 10:35:44PM,24.13,,,,
98,09/28/23 12:18:09AM,24.384,,,,
99,09/28/23 12:36:10AM,24.638,,,,
100,09/28/23 07:39:16AM,24.892,,,,
101,09/28/23 07:49:15AM,25.146,,,,
102,09/28/23 09:39:32AM,25.4,,,,
103,09/28/23 10:27:19AM,25.654,,,,
104,10/09/23 08:09:55PM,25.908,,,,
105,10/09/23 08:31:47PM,26.162,,,,
106,10/09/23 08:56:29PM,26.416,,,,
107,10/10/23 12:24:43AM,26.67,,,,
108,10/10/23 12:42:29AM,26.924,,,,
109,10/10/23 04:45:18AM,27.178,,,,
110,10/10/23 06:05:55AM,27.432,,,,
111,10/10/23 12:57:30PM,27.686,,,,
112,10/11/23 03:40:26AM,27.94,,,,
113,10/11/23 03:51:52AM,28.194,,,,
114,10/12/23 03:13:09AM,28.448,,,,
115,10/12/23 05:16:38AM,28.702,,,,
116,10/12/23 09:58:27PM,28.956,,,,
117,10/12/23 10:03:46PM,29.2100000000001,,,,
118,10/12/23 10:04:32PM,29.464,,,,
119,10/12/23 10:05:57PM,29.7180000000001,,,,
120,10/12/23 10:10:23PM,29.9720000000001,,,,
121,10/12/23 10:21:39PM,30.2260000000001,,,,
122,10/12/23 11:01:25PM,30.4800000000001,,,,
123,10/12/23 11:05:59PM,30.7340000000001,,,,
124,10/12/23 11:20:48PM,30.9880000000001,,,,
125,10/13/23 01:08:09AM,31.2420000000001,,,,
126,10/13/23 06:56:23AM,31.4960000000001,,,,
127,10/16/23 01:29:49AM,31.7500000000001,,,,
128,10/16/23 01:53:33AM,32.0040000000001,,,,
129,10/16/23 04:28:39AM,32.2580000000001,,,,
130,10/16/23 04:31:25AM,32.5120000000001,,,,
131,10/16/23 04:37:24AM,32.7660000000001,,,,
132,10/16/23 05:12:43AM,33.0200000000001,,,,
133,10/16/23 05:24:38AM,33.2740000000001,,,,
134,10/16/23 05:29:51AM,33.528,,,,
