"Plot Title: Sileza Camp"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102559, SEN S/N: 20102559)","Coupler Detached (LGR S/N: 20102559)","Coupler Attached (LGR S/N: 20102559)","Host Connected (LGR S/N: 20102559)","End Of File (LGR S/N: 20102559)"
1,09/13/23 08:43:24,0.000,,,,
2,09/13/23 08:43:32,,Logged,,,
3,09/17/23 03:18:35,0.254,,,,
4,09/19/23 20:58:18,0.508,,,,
5,09/19/23 21:03:02,0.762,,,,
6,09/19/23 21:08:26,1.016,,,,
7,09/19/23 21:13:38,1.270,,,,
8,09/19/23 21:19:57,1.524,,,,
9,09/19/23 21:26:02,1.778,,,,
10,09/19/23 21:32:39,2.032,,,,
11,09/19/23 21:41:24,2.286,,,,
12,09/19/23 23:44:30,2.540,,,,
13,09/27/23 05:11:17,2.794,,,,
14,09/27/23 05:16:12,3.048,,,,
15,09/27/23 05:19:52,3.302,,,,
16,09/27/23 05:25:02,3.556,,,,
17,09/27/23 05:28:44,3.810,,,,
18,09/27/23 05:33:20,4.064,,,,
19,09/27/23 05:39:24,4.318,,,,
20,09/27/23 05:43:43,4.572,,,,
21,09/27/23 05:47:45,4.826,,,,
22,09/27/23 05:52:06,5.080,,,,
23,09/27/23 05:56:40,5.334,,,,
24,09/27/23 06:00:39,5.588,,,,
25,09/27/23 06:04:00,5.842,,,,
26,09/27/23 06:07:29,6.096,,,,
27,09/27/23 06:12:24,6.350,,,,
28,09/27/23 06:19:43,6.604,,,,
29,09/27/23 06:23:49,6.858,,,,
30,09/27/23 06:26:20,7.112,,,,
31,09/27/23 06:29:48,7.366,,,,
32,09/27/23 06:33:18,7.620,,,,
33,09/27/23 06:36:47,7.874,,,,
34,09/27/23 06:39:35,8.128,,,,
35,09/27/23 06:41:49,8.382,,,,
36,09/27/23 06:44:53,8.636,,,,
37,09/27/23 06:48:26,8.890,,,,
38,09/27/23 06:51:58,9.144,,,,
39,09/27/23 07:04:43,9.398,,,,
40,09/27/23 07:10:37,9.652,,,,
41,09/27/23 07:13:54,9.906,,,,
42,09/27/23 07:16:14,10.160,,,,
43,09/27/23 07:18:36,10.414,,,,
44,09/27/23 07:19:46,10.668,,,,
45,09/27/23 07:20:33,10.922,,,,
46,09/27/23 07:22:09,11.176,,,,
47,09/27/23 07:24:33,11.430,,,,
48,09/27/23 07:26:03,11.684,,,,
49,09/27/23 07:27:37,11.938,,,,
50,09/27/23 07:29:41,12.192,,,,
51,09/27/23 07:31:26,12.446,,,,
52,09/27/23 07:33:14,12.700,,,,
53,09/27/23 07:35:53,12.954,,,,
54,09/27/23 07:43:09,13.208,,,,
55,09/27/23 10:47:14,13.462,,,,
56,09/27/23 11:01:50,13.716,,,,
57,09/27/23 11:12:20,13.970,,,,
58,09/27/23 11:18:07,14.224,,,,
59,09/27/23 11:23:48,14.478,,,,
60,09/27/23 11:26:58,14.732,,,,
61,09/27/23 11:32:33,14.986,,,,
62,09/27/23 11:38:59,15.240,,,,
63,09/27/23 11:41:10,15.494,,,,
64,09/27/23 11:43:07,15.748,,,,
65,09/27/23 11:44:16,16.002,,,,
66,09/27/23 11:45:47,16.256,,,,
67,09/27/23 11:47:25,16.510,,,,
68,09/27/23 11:49:37,16.764,,,,
69,09/27/23 11:51:33,17.018,,,,
70,09/27/23 11:53:05,17.272,,,,
71,09/27/23 11:55:12,17.526,,,,
72,09/27/23 11:57:39,17.780,,,,
73,09/27/23 12:00:39,18.034,,,,
74,09/27/23 12:05:36,18.288,,,,
75,09/27/23 12:11:58,18.542,,,,
76,09/27/23 12:16:40,18.796,,,,
77,09/27/23 12:23:13,19.050,,,,
78,09/27/23 12:38:23,19.304,,,,
79,09/27/23 17:07:08,19.558,,,,
80,09/27/23 17:15:18,19.812,,,,
81,09/27/23 17:20:38,20.066,,,,
82,09/27/23 17:28:22,20.320,,,,
83,09/27/23 19:43:40,20.574,,,,
84,09/27/23 20:01:52,20.828,,,,
85,09/27/23 20:04:17,21.082,,,,
86,09/27/23 20:06:31,21.336,,,,
87,09/27/23 20:08:28,21.590,,,,
88,09/27/23 20:10:18,21.844,,,,
89,09/27/23 20:12:30,22.098,,,,
90,09/27/23 20:15:43,22.352,,,,
91,09/27/23 20:19:59,22.606,,,,
