Date Time,Rainfall (mm)  #20102559,Coupler Detached,Coupler Attached,Host Connected,End Of File
05/07/24 10:50:46.0,0.000,,,,
05/07/24 10:50:51.0,,Logged,,,
05/12/24 21:03:42.0,0.254,,,,
05/12/24 21:06:56.0,0.508,,,,
05/12/24 21:08:23.0,0.762,,,,
05/12/24 21:09:10.0,1.016,,,,
05/12/24 21:09:46.0,1.270,,,,
05/12/24 21:10:16.0,1.524,,,,
05/12/24 21:10:46.0,1.778,,,,
05/12/24 21:11:30.0,2.032,,,,
05/12/24 21:12:36.0,2.286,,,,
05/12/24 21:16:10.0,2.540,,,,
05/13/24 03:41:32.0,2.794,,,,
05/13/24 04:06:18.0,3.048,,,,
05/13/24 04:09:07.0,3.302,,,,
05/13/24 04:16:33.0,3.556,,,,
05/13/24 04:31:53.0,3.810,,,,
05/13/24 04:36:18.0,4.064,,,,
05/13/24 05:08:55.0,4.318,,,,
05/13/24 06:39:33.0,4.572,,,,
05/13/24 06:53:13.0,4.826,,,,
05/13/24 07:04:14.0,5.080,,,,
05/13/24 07:08:55.0,5.334,,,,
05/13/24 07:13:59.0,5.588,,,,
05/13/24 07:18:02.0,5.842,,,,
05/13/24 07:24:19.0,6.096,,,,
05/13/24 07:27:12.0,6.350,,,,
05/13/24 07:32:30.0,6.604,,,,
05/13/24 07:50:37.0,6.858,,,,
05/13/24 08:20:58.0,7.112,,,,
05/13/24 08:25:48.0,7.366,,,,
05/13/24 08:48:37.0,7.620,,,,
05/13/24 09:00:31.0,7.874,,,,
05/13/24 09:01:08.0,8.128,,,,
05/13/24 09:01:34.0,8.382,,,,
05/13/24 09:02:17.0,8.636,,,,
05/13/24 09:03:03.0,8.890,,,,
05/13/24 09:03:51.0,9.144,,,,
05/13/24 09:05:24.0,9.398,,,,
05/13/24 09:13:20.0,9.652,,,,
05/13/24 09:14:15.0,9.906,,,,
05/13/24 09:15:40.0,10.160,,,,
05/13/24 09:18:38.0,10.414,,,,
05/13/24 15:30:33.0,10.668,,,,
05/14/24 05:12:01.0,10.922,,,,
05/14/24 05:14:41.0,11.176,,,,
05/14/24 05:16:46.0,11.430,,,,
05/14/24 05:18:49.0,11.684,,,,
05/14/24 05:22:58.0,11.938,,,,
05/14/24 05:25:49.0,12.192,,,,
05/14/24 05:27:56.0,12.446,,,,
05/14/24 05:30:32.0,12.700,,,,
05/14/24 05:35:14.0,12.954,,,,
05/14/24 08:18:23.0,13.208,,,,
05/14/24 08:25:56.0,13.462,,,,
05/14/24 08:59:16.0,13.716,,,,
05/14/24 11:17:10.0,13.970,,,,
05/14/24 11:55:02.0,14.224,,,,
05/14/24 11:55:03.0,14.478,,,,
05/14/24 11:55:05.0,14.732,,,,
05/14/24 11:55:51.0,14.986,,,,
05/16/24 11:39:04.0,15.240,,,,
05/16/24 11:39:05.0,15.494,,,,
05/16/24 11:39:08.0,15.748,,,,
05/16/24 11:39:13.0,16.002,,,,
05/16/24 11:39:17.0,16.256,,,,
06/06/24 09:35:00.0,16.510,,,,
06/12/24 09:25:18.0,16.764,,,,
06/12/24 09:25:22.0,17.018,,,,
06/12/24 09:25:23.0,17.272,,,,
06/12/24 09:25:26.0,17.526,,,,
06/12/24 09:25:29.0,17.780,,,,
06/12/24 09:25:30.0,18.034,,,,
06/12/24 09:25:31.0,18.288,,,,
06/12/24 12:08:06.0,,,Logged,,
06/12/24 12:08:12.0,,,,Logged,
06/12/24 12:08:35.0,18.288,,,,Logged
